point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,王盈新2011/石汝杰
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,虾,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,霞,ia,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,瑕,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,遐,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,厦,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,下,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,夏,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,暇,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,鸦,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,丫,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,桠,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,哑,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,麻,Ø,亚,ia,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,补,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,谱,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,哺,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,布,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,佈,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,铺,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,潽,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,普,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,浦,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,铺,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,怖,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,蒲,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,菩,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,脯,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,葡,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,莆,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,部,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,簿,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,篰,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,步,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,捕,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,P,埠,u,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,M,模,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,M,模,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,M,摹,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,M,姥,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,M,暮,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,M,慕,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,M,墓,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,M,募,o,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,M,睦,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,都,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,都,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,赌,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,堵,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,肚,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,睹,,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,妒,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,土,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,,,模,T,吐,əu,,
