point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,萧山方言研究
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,嫁,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,稼,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,价,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,揢,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,牙,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,芽,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,衙,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,伢,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,蚜,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,雅,io,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,K,砑,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,虾,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,�,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,嚇,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,霞,io,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,瑕,io,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,遐,io,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,蝦,,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,下,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,夏,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,厦,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,下,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,夏,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,暇,io,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,鸦,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,丫,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,桠,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,哑,o,,
XH02,萧山城厢,太湖片-临绍小片,,,麻,Ø,亚,io,白读,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,补,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,谱,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,哺,,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,布,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,佈,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,铺,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,潽,u,,
XH02,萧山城厢,太湖片-临绍小片,,,模,P,普,u,,
