point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,上海南汇方言老派同音字汇陈忠敏
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,M,码,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,M,玛,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,M,蚂,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,M,骂,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,N,拿,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS,茶,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS,搽,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS,䖳,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,楂,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,渣,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,诈,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,榨,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,炸,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,叉,a/o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,杈,a/o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,差,a/o,～错、出～,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,岔,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,差,a/o,～错、出～,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,茬,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,查,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,乍,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,沙,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,纱,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,痧,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,砂,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,鲨,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,裟,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,洒,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,TS*,厦,a,大～,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,家,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,傢,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,加,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,痂,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,嘉,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,枷,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,袈,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,假,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,贾,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,假,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,架,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,驾,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,嫁,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,稼,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,价,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,揢,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,牙,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,芽,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,衙,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,伢,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,蚜,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,雅,a,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,K,砑,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,虾,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,�,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,嚇,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,霞,ia,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,瑕,ia,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,遐,ia,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,蝦,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,下,ɔ/o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,夏,ɔ/o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,厦,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,下,ɔ/o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,夏,ɔ/o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,暇,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,鸦,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,丫,o,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,桠,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,哑,ɔ,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,麻,Ø,亚,ia,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,补,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,谱,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,哺,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,布,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,佈,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,铺,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,潽,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,普,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,浦,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,铺,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,怖,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,蒲,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,菩,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,脯,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,葡,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,莆,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,部,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,簿,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,篰,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,步,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,捕,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,P,埠,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,M,模,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,M,模,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,M,摹,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,M,姥,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,M,暮,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,M,慕,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,M,墓,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,M,募,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,M,睦,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,都,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,都,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,赌,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,堵,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,肚,u,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,睹,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,妒,,,
NH01,南汇惠南镇,太湖片-苏沪嘉小片,,,模,T,土,u,,
