point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江上虞百官镇方言音系
SY01,上虞百官镇,太湖片-临绍小片,,,麻,P,爸,ɐ,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,P,怕,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,P,帕,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,P,爬,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,P,琶,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,P,杷,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,P,钯,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,P,耙,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,M,麻,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,M,痲,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,M,蟆,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,M,妈,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,M,马,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,M,码,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,M,玛,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,M,蚂,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,M,骂,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,N,拿,o,白读,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS,茶,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS,搽,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS,䖳,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,楂,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,渣,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,诈,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,榨,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,炸,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,叉,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,杈,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,差,ɐ/o,～遣/～勿多,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,岔,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,差,ɐ/o,～遣/～勿多,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,茬,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,查,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,乍,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,沙,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,纱,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,痧,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,砂,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,鲨,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,裟,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,洒,ɐ,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,TS*,厦,ɐ,大～,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,家,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,傢,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,加,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,痂,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,嘉,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,枷,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,袈,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,假,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,贾,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,假,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,架,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,驾,iɐ,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,嫁,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,稼,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,价,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,揢,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,牙,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,芽,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,衙,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,伢,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,蚜,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,雅,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,K,砑,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,虾,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,�,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,嚇,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,霞,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,瑕,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,遐,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,蝦,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,下,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,夏,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,厦,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,下,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,夏,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,暇,,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,鸦,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,丫,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,桠,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,哑,o,,
SY01,上虞百官镇,太湖片-临绍小片,,,麻,Ø,亚,iɐ,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,补,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,谱,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,哺,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,布,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,佈,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,铺,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,潽,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,普,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,浦,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,铺,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,怖,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,蒲,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,菩,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,脯,u,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,葡,,,
SY01,上虞百官镇,太湖片-临绍小片,,,模,P,莆,,,
