point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,俞光中1988
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,玳,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,黛,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,埭,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,逮,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,T,绐,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,N,乃,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,N,耐,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,L,来,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,灾,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,栽,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,宰,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,载,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,再,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,载,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,猜,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,彩,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,採,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,睬,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,踩,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,菜,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,棌,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,才,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,材,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,财,,,
JX01,嘉兴城区,太湖片-苏沪嘉小片,,,咍,TS,裁,,,
