point_id,point_name,onset_class,chain_slot,phonetic_frequency
CS01,川沙浦东, Ø,S3,u(19)
CS01,川沙浦东,TS,S2,u(12)
CS01,川沙浦东,TS,S3,"u(12), iɔ(1)"
CS01,川沙浦东,TS*,S0,"ᴀ(8), iɔ(1)"
CS01,川沙浦东,TS*,S1,"iɔ(15), ᴀ(1)"
CS02,常熟虞山镇, K,S0,"ᴀ(8), iᴀ(2)"
CS02,常熟虞山镇, K,S1,"ᴀ(13), iᴀ(3)"
CS02,常熟虞山镇, K,S2,ɯ(21)
CS02,常熟虞山镇, K,S3,"u(17), ɯ(1)"
CS02,常熟虞山镇, M,S0,"ᴀ(2), ɛ(1)"
CS02,常熟虞山镇, M,S1,"u(5), ᴀ(1)"
CS02,常熟虞山镇, M,S2,u(4)
CS02,常熟虞山镇, M,S3,u(4)
CS02,常熟虞山镇, N,S0,ᴀ(1)
CS02,常熟虞山镇, N,S1,u(1)
CS02,常熟虞山镇, N,S2,ɯ(10)
CS02,常熟虞山镇, N,S3,ɯ(11)
CS02,常熟虞山镇, P,S0,ᴀ(8)
CS02,常熟虞山镇, P,S1,"u(10), ᴀ(2)"
CS02,常熟虞山镇, P,S2,u(7)
CS02,常熟虞山镇, P,S3,u(16)
CS02,常熟虞山镇, T,S2,"ɯ(14), ᴀ(1)"
CS02,常熟虞山镇, T,S3,ɯ(19)
CS02,常熟虞山镇, Ø,S0,"ᴀ(6), ɛ(1)"
CS02,常熟虞山镇, Ø,S1,"u(8), iᴀ(6)"
CS02,常熟虞山镇, Ø,S2,"ɯ(14), ioʔ(1)"
CS02,常熟虞山镇, Ø,S3,u(13)
CS02,常熟虞山镇,TS,S1,u(1)
CS02,常熟虞山镇,TS,S2,"ɯ(11), i(1), u(1)"
CS02,常熟虞山镇,TS,S3,"ɯ(12), u(1)"
CS02,常熟虞山镇,TS*,S0,"ᴀ(4), u(2)"
CS02,常熟虞山镇,TS*,S1,"u(15), ᴀ(1)"
CX01,慈溪逍林, K,S0,"a(11), ia(5)"
CX01,慈溪逍林, K,S1,"o(12), ia(5), a(1)"
CX01,慈溪逍林, K,S2,ou(20)
CX01,慈溪逍林, K,S3,"u(20), ou(2)"
CX01,慈溪逍林, M,S0,a(3)
CX01,慈溪逍林, M,S1,o(7)
CX01,慈溪逍林, M,S2,ou(5)
CX01,慈溪逍林, M,S3,ou(7)
CX01,慈溪逍林, N,S0,a(1)
CX01,慈溪逍林, N,S2,ou(8)
CX01,慈溪逍林, N,S3,u(14)
CX01,慈溪逍林, P,S0,"a(6), ou(1), u(1)"
CX01,慈溪逍林, P,S1,"o(13), a(1)"
CX01,慈溪逍林, P,S2,"ou(9), a(1)"
CX01,慈溪逍林, P,S3,u(18)
CX01,慈溪逍林, T,S2,"ou(8), a(2), o(1)"
CX01,慈溪逍林, T,S3,"u(20), ou(2)"
CX01,慈溪逍林, Ø,S0,"a(6), ia(2)"
CX01,慈溪逍林, Ø,S1,"o(8), ia(3), ø(1)"
CX01,慈溪逍林, Ø,S2,"ou(15), o(1)"
CX01,慈溪逍林, Ø,S3,u(18)
CX01,慈溪逍林,TS,S1,o(2)
CX01,慈溪逍林,TS,S2,"ou(7), o(4)"
CX01,慈溪逍林,TS,S3,ou(3)
CX01,慈溪逍林,TS*,S0,"a(8), e(1), o(1)"
CX01,慈溪逍林,TS*,S1,"o(13), a(2)"
CX02,长兴, K,S0,"a(10), ia(5)"
CX02,长兴, K,S1,"a(11), ia(2)"
CX02,长兴, K,S2,"əu(13), o(1)"
CX02,长兴, K,S3,"əu(13), u(4)"
CX02,长兴, M,S0,a(3)
CX02,长兴, M,S1,"o(3), a(3)"
CX02,长兴, M,S2,o(3)
CX02,长兴, M,S3,o(4)
CX02,长兴, N,S0,a(2)
CX02,长兴, N,S1,a(1)
CX02,长兴, N,S2,"əu(7), a(2)"
CX02,长兴, N,S3,əu(11)
CX02,长兴, P,S0,a(7)
CX02,长兴, P,S1,"o(11), a(2)"
CX02,长兴, P,S2,u(8)
CX02,长兴, P,S3,u(16)
CX02,长兴, T,S2,"əu(9), a(2), o(2)"
CX02,长兴, T,S3,əu(18)
CX02,长兴, Ø,S0,a(3)
CX02,长兴, Ø,S1,"o(7), ia(3)"
CX02,长兴, Ø,S2,"u(2), əu(2)"
CX02,长兴, Ø,S3,"u(7), əu(1)"
CX02,长兴,TS,S1,o(1)
CX02,长兴,TS,S2,"əu(8), a(2)"
CX02,长兴,TS,S3,əu(11)
CX02,长兴,TS*,S0,"a(8), o(1)"
CX02,长兴,TS*,S1,o(14)
CZ01,常州, K,S0,"a(10), ia(7)"
CZ01,常州, K,S1,"ia(17), o(10)"
CZ01,常州, K,S2,ɤɯ(23)
CZ01,常州, K,S3,u(28)
CZ01,常州, M,S0,a(3)
CZ01,常州, M,S1,"o(6), a(2)"
CZ01,常州, M,S2,"ɤɯ(4), o(1)"
CZ01,常州, M,S3,"ɤɯ(4), aɤ(1)"
CZ01,常州, N,S0,a(1)
CZ01,常州, N,S1,o(1)
CZ01,常州, N,S2,"ɤɯ(12), a(2)"
CZ01,常州, N,S3,u(16)
CZ01,常州, P,S0,"a(7), o(1)"
CZ01,常州, P,S1,"o(13), a(1)"
CZ01,常州, P,S2,ɤɯ(12)
CZ01,常州, P,S3,u(17)
CZ01,常州, T,S2,"ɤɯ(17), a(2)"
CZ01,常州, T,S3,"u(20), ɤɯ(1)"
CZ01,常州, Ø,S0,"a(6), ia(4), æi(1)"
CZ01,常州, Ø,S1,"ia(8), o(7)"
CZ01,常州, Ø,S2,ɤɯ(15)
CZ01,常州, Ø,S3,"u(18), ɔʔ(1)"
CZ01,常州,TS,S1,o(2)
CZ01,常州,TS,S2,ɤɯ(9)
CZ01,常州,TS,S3,"ɥ(7), ɤɯ(2)"
CZ01,常州,TS*,S0,"a(8), æi(1), o(1)"
CZ01,常州,TS*,S1,"o(17), a(1)"
DB01,郎溪梅渚镇定埠, K,S0,"ᴇ(11), iɑ(2)"
DB01,郎溪梅渚镇定埠, K,S1,"ɑ(11), iɑ(4)"
DB01,郎溪梅渚镇定埠, K,S2,"ɷ(17), əʔ(1)"
DB01,郎溪梅渚镇定埠, K,S3,u(25)
DB01,郎溪梅渚镇定埠, M,S0,ᴇ(3)
DB01,郎溪梅渚镇定埠, M,S1,ɑ(7)
DB01,郎溪梅渚镇定埠, M,S2,ɷ(5)
DB01,郎溪梅渚镇定埠, M,S3,ɷ(7)
DB01,郎溪梅渚镇定埠, N,S0,ᴇ(1)
DB01,郎溪梅渚镇定埠, N,S1,ɑ(1)
DB01,郎溪梅渚镇定埠, N,S2,"ɷ(9), ɑ(2)"
DB01,郎溪梅渚镇定埠, N,S3,u(13)
DB01,郎溪梅渚镇定埠, P,S0,"ᴇ(5), ɑ(2)"
DB01,郎溪梅渚镇定埠, P,S1,ɑ(15)
DB01,郎溪梅渚镇定埠, P,S2,"ɷ(9), əʔ(1)"
DB01,郎溪梅渚镇定埠, P,S3,u(17)
DB01,郎溪梅渚镇定埠, T,S2,"ɷ(11), a(1), ɑ(1)"
DB01,郎溪梅渚镇定埠, T,S3,ɷ(20)
DB01,郎溪梅渚镇定埠, Ø,S0,ᴇ(7)
DB01,郎溪梅渚镇定埠, Ø,S1,"ɑ(9), iɑ(5)"
DB01,郎溪梅渚镇定埠, Ø,S2,ɷ(12)
DB01,郎溪梅渚镇定埠, Ø,S3,u(18)
DB01,郎溪梅渚镇定埠,TS,S1,ɑ(2)
DB01,郎溪梅渚镇定埠,TS,S2,ɷ(10)
DB01,郎溪梅渚镇定埠,TS,S3,"ʮ(11), ɷ(3)"
DB01,郎溪梅渚镇定埠,TS*,S0,"ᴇ(8), ɑ(1)"
DB01,郎溪梅渚镇定埠,TS*,S1,"ɑ(15), iɑ(1)"
DQ01,德清乾元, K,S0,"a(10), ia(6)"
DQ01,德清乾元, K,S1,"a(14), ia(5), ɔ(1)"
DQ01,德清乾元, K,S2,"u(21), oʔ(1), ɔ(1)"
DQ01,德清乾元, K,S3,u(22)
DQ01,德清乾元, M,S0,a(3)
DQ01,德清乾元, M,S1,"ɔ(6), u(1)"
DQ01,德清乾元, M,S2,u(5)
DQ01,德清乾元, M,S3,u(7)
DQ01,德清乾元, N,S0,"a(1), ᴇ(1)"
DQ01,德清乾元, N,S1,ɔ(1)
DQ01,德清乾元, N,S2,"u(10), ɔ(1), aʔ(1)"
DQ01,德清乾元, N,S3,u(13)
DQ01,德清乾元, P,S0,"a(8), ɔ(1)"
DQ01,德清乾元, P,S1,"ɔ(12), a(1)"
DQ01,德清乾元, P,S2,"u(9), ᴇ(2)"
DQ01,德清乾元, P,S3,u(17)
DQ01,德清乾元, T,S2,"u(15), a(3), ɔ(1)"
DQ01,德清乾元, T,S3,u(20)
DQ01,德清乾元, Ø,S0,"a(6), ia(1)"
DQ01,德清乾元, Ø,S1,"ɔ(8), ia(4)"
DQ01,德清乾元, Ø,S2,"u(18), a(1)"
DQ01,德清乾元, Ø,S3,u(18)
DQ01,德清乾元,TS,S1,ɔ(1)
DQ01,德清乾元,TS,S2,u(11)
DQ01,德清乾元,TS,S3,"u(12), oʔ(1)"
DQ01,德清乾元,TS*,S0,a(8)
DQ01,德清乾元,TS*,S1,"ɔ(16), a(1)"
DS01,岱山岱西镇, K,S0,"a(12), ia(3), ᴇ(1)"
DS01,岱山岱西镇, K,S1,"o(9), ia(6), a(1), ɵ(1)"
DS01,岱山岱西镇, K,S2,"ɐu(19), ɵ(1), o(1)"
DS01,岱山岱西镇, K,S3,u(25)
DS01,岱山岱西镇, M,S0,a(2)
DS01,岱山岱西镇, M,S1,"o(7), a(1), ɔ(1)"
DS01,岱山岱西镇, M,S2,ɐu(5)
DS01,岱山岱西镇, M,S3,ɐu(7)
DS01,岱山岱西镇, N,S0,"a(1), e(1)"
DS01,岱山岱西镇, N,S1,a(1)
DS01,岱山岱西镇, N,S2,"ɐu(10), a(3), ɔ(2)"
DS01,岱山岱西镇, N,S3,"u(14), ɐu(2)"
DS01,岱山岱西镇, P,S0,"a(7), o(1)"
DS01,岱山岱西镇, P,S1,"o(13), a(1)"
DS01,岱山岱西镇, P,S2,ɐu(11)
DS01,岱山岱西镇, P,S3,u(20)
DS01,岱山岱西镇, T,S2,"ɐu(11), a(2), o(2), u(1)"
DS01,岱山岱西镇, T,S3,u(21)
DS01,岱山岱西镇, Ø,S0,"a(6), iᴇ(1)"
DS01,岱山岱西镇, Ø,S1,"o(9), ia(4)"
DS01,岱山岱西镇, Ø,S2,"ɐu(12), o(1), u(1)"
DS01,岱山岱西镇, Ø,S3,u(21)
DS01,岱山岱西镇,TS,S1,o(2)
DS01,岱山岱西镇,TS,S2,ɐu(11)
DS01,岱山岱西镇,TS,S3,"u(10), ɐu(2)"
DS01,岱山岱西镇,TS*,S0,"a(7), ᴇ(2), o(1)"
DS01,岱山岱西镇,TS*,S1,"o(13), a(3)"
DY01,丹阳, K,S0,"ɑ(9), ie(4), iɑ(3), æ(2)"
DY01,丹阳, K,S1,"iɑ(16), ɑ(1)"
DY01,丹阳, K,S2,"ə(21), æʔ(1)"
DY01,丹阳, K,S3,u(24)
DY01,丹阳, M,S0,"ɑ(3), æ(3)"
DY01,丹阳, M,S1,ɑ(6)
DY01,丹阳, M,S2,ə(4)
DY01,丹阳, M,S3,ə(8)
DY01,丹阳, N,S0,"ɑ(1), æ(1)"
DY01,丹阳, N,S1,ɑ(1)
DY01,丹阳, N,S2,"ə(15), ɑ(2), ɔ(1)"
DY01,丹阳, N,S3,"u(13), ə(1)"
DY01,丹阳, P,S0,"ɑ(6), æ(5)"
DY01,丹阳, P,S1,ɑ(9)
DY01,丹阳, P,S2,ə(10)
DY01,丹阳, P,S3,u(16)
DY01,丹阳, T,S2,"ə(14), ɑ(2)"
DY01,丹阳, T,S3,"u(21), ə(2)"
DY01,丹阳, Ø,S0,"ɑ(5), ie(2), æ(2)"
DY01,丹阳, Ø,S1,"iɑ(11), ɑ(2)"
DY01,丹阳, Ø,S2,"ə(12), yɑ(1)"
DY01,丹阳, Ø,S3,u(17)
DY01,丹阳,TS,S1,ɑ(2)
DY01,丹阳,TS,S2,ə(12)
DY01,丹阳,TS,S3,"u(10), ə(2)"
DY01,丹阳,TS*,S0,"ɑ(5), æ(3)"
DY01,丹阳,TS*,S1,ɑ(11)
FC01,奉城, K,S0,"ɑ(6), iɑ(4)"
FC01,奉城, K,S1,"ɑ(12), iɑ(4)"
