point_id,point_name,onset_class,S0,S1,S2,S3
FY01,富阳城关,M,a(3),"o(5), a(2)","ʊ(4), a(2)",ʊ(6)
FY01,富阳城关,N,,,"ʊ(9), a(2), i(1), o(1)",ʊ(16)
FY01,富阳城关,P,"a(6), o(1)","o(11), a(1)","u(9), o(1)",u(21)
FY01,富阳城关,T,,,"ʊ(14), a(3)",ʊ(21)
FY01,富阳城关,TS,"a(8), o(1)","o(18), a(2)",ʊ(8),ʊ(13)
FY01,富阳城关,Ø,a(6),"o(9), ia(2)","u(16), o(2), a(1), ua(1), yɛ(1)",u(20)
FY02,富阳东梓关,K,"a(13), iɛ(3), ia(2)","uo(13), ia(5)","u(20), ia(1)",u(22)
FY02,富阳东梓关,M,a(3),uo(7),"u(4), a(2)",u(6)
FY02,富阳东梓关,N,,,"u(7), uo(2), a(1), ɔ(1)",u(14)
FY02,富阳东梓关,P,"a(7), uo(1)",uo(11),"u(6), ɛ(2), a(1)",u(18)
FY02,富阳东梓关,T,,,"u(14), a(1)",u(19)
FY02,富阳东梓关,TS,"ia(4), a(2), uo(2), ɛ(1)","uo(16), a(1), ia(1)","u(9), uo(1)",u(13)
FY02,富阳东梓关,Ø,"a(6), iɛ(1)","uo(7), ia(2)","u(14), o(1)",u(16)
GQ01,高桥,K,"iᴀ(5), ᴀ(5)","ᴀ(12), iᴀ(4)","u(18), o(1), ᴀ(1)",u(23)
GQ01,高桥,M,ᴀ(3),"o(5), ᴀ(1)",u(5),u(6)
GQ01,高桥,N,,,u(6),u(10)
GQ01,高桥,P,ᴀ(7),"ᴀ(6), o(3)",u(5),u(14)
GQ01,高桥,T,,,"u(7), ᴀ(2)",u(20)
GQ01,高桥,TS,"ᴀ(6), o(1), ɛ(1)","o(11), ᴀ(1)",u(8),"u(10), o(1)"
GQ01,高桥,Ø,"ᴀ(5), e(1)","o(5), iᴀ(3), ɔ(1)",u(12),u(11)
HM01,海门镇沙地话,K,"ɑ(13), iɑ(8), ɛ(1)","ɑ(15), iɑ(12)","u(22), ɑ(1)",u(25)
HM01,海门镇沙地话,M,"ɑ(3), ɛ(3)","o(5), ɑ(1)",u(4),u(5)
HM01,海门镇沙地话,N,,,"u(12), ɑ(3)",u(16)
HM01,海门镇沙地话,P,"ɑ(8), ɛ(3), o(1)","o(13), ɑ(1)",u(11),u(19)
HM01,海门镇沙地话,T,,,"u(17), ɑ(3)",u(21)
HM01,海门镇沙地话,TS,"ɑ(6), o(2), ɛ(1)","o(16), ɑ(2)",u(11),u(13)
HM01,海门镇沙地话,Ø,"ɑ(6), iɛ(2), ɛ(2)","iɑ(8), o(7), uo(1), ɑ(1)","u(10), ɑ(2), iɑ(1)",u(20)
HM02,海门四甲,K,"ɑ(10), iɑ(3), ɛ(2)","iɑ(11), ɯo(6), ɑ(3), yo(2)","ɤ(24), ɑ(1)",ɯ(31)
HM02,海门四甲,M,ɑ(3),"o(8), ɑ(2)",ɤ(5),ɤ(6)
HM02,海门四甲,N,,,"ɤ(17), ɑ(3), iɛ(1)","ɯ(12), ɤ(3)"
HM02,海门四甲,P,ɑ(7),"o(12), ɑ(3)",ɤ(12),ɯ(15)
HM02,海门四甲,T,,,"ɤ(19), ɑ(2), ɛ(1)",ɯ(20)
HM02,海门四甲,TS,"ɑ(6), yo(1)",yo(14),ɤ(14),"ɯ(11), ɤ(2)"
HM02,海门四甲,Ø,"ɑ(6), ɛ(4)","ɯo(9), iɑ(5)","ɤ(18), yo(1), yɛ(1)",ɯ(21)
HN01,海宁硖石,K,"a(11), ia(3)","a(12), ia(2)","u(16), o(2), a(1)","u(22), ŋ(1)"
HN01,海宁硖石,M,a(3),"o(5), a(2)",u(4),u(4)
HN01,海宁硖石,N,,,u(7),u(14)
HN01,海宁硖石,P,a(7),"o(11), a(4)",u(7),u(18)
HN01,海宁硖石,T,,,"u(8), a(2), o(1)",u(20)
HN01,海宁硖石,TS,"a(4), o(1)","o(15), a(1)","u(5), o(3)","u(12), o(1)"
HN01,海宁硖石,Ø,"a(3), iɛ(1)","o(9), ia(3)",u(9),u(15)
HY01,海盐县城,K,"ɑ(12), iɑ(5)","ɑ(11), iɑ(3)","u(17), e(1), o(1), ɑ(1)","u(22), n(1)"
HY01,海盐县城,M,ɑ(3),"o(6), ɑ(1)","o(5), u(3)","o(3), u(3)"
HY01,海盐县城,N,,,"u(9), o(3)",u(12)
HY01,海盐县城,P,ɑ(8),"o(11), ɑ(2)",u(6),"u(17), əʔ(1)"
HY01,海盐县城,T,,,"u(9), o(2), ɑ(2)",u(20)
HY01,海盐县城,TS,"ɑ(7), o(2), ɛ(1)",o(15),"u(7), o(3)",u(12)
HY01,海盐县城,Ø,"ɑ(5), iɛ(1)","o(7), iɑ(2), ɤ(1)","u(15), ɑ(1)",u(18)
HZ01,杭州城区,K,"iɛ(10), a(2), ia(1)",ia(16),"o(14), u(4), ia(1)",u(24)
HZ01,杭州城区,M,ɛ(3),a(6),o(5),o(6)
HZ01,杭州城区,N,,,"o(8), a(1)","u(9), o(3)"
HZ01,杭州城区,P,"ɛ(6), a(1)",a(14),o(8),u(16)
HZ01,杭州城区,T,,,"o(15), a(2)",u(21)
HZ01,杭州城区,TS,"ɛ(5), a(1)","a(14), ɛ(1)",o(8),o(13)
HZ01,杭州城区,Ø,iɛ(8),ia(15),"o(8), u(7), y(1)","u(17), o(1)"
HZ02,湖州市区,K,"a(10), ia(2)","a(12), ia(2)","əu(19), a(2), e(1)","əu(21), u(5)"
HZ02,湖州市区,M,a(3),"ɷ(5), a(1)",ɷ(3),u(4)
HZ02,湖州市区,N,,,əu(10),əu(13)
HZ02,湖州市区,P,a(7),"ɷ(11), a(2)",u(9),u(17)
HZ02,湖州市区,T,,,"əu(7), ɷ(5), a(1)","əu(20), ɷ(1)"
HZ02,湖州市区,TS,"a(7), ɷ(2)","ɷ(12), a(3)",əu(11),əu(13)
HZ02,湖州市区,Ø,"a(6), ia(1)","ɷ(9), ia(4)","u(10), əu(4)","əu(13), w(2), u(1)"
JD01,嘉定城厢,K,"ᴀ(10), iᴀ(5), iᴇ(2)","ᴀ(14), iᴀ(3)","u(22), ᴀ(1)",u(24)
JD01,嘉定城厢,M,"ᴀ(3), ᴇ(1)","o(7), ᴀ(1)",u(4),u(7)
JD01,嘉定城厢,N,,,"u(8), ᴀ(2), o(1)",u(15)
JD01,嘉定城厢,P,ᴀ(7),"o(14), ᴀ(2)",u(10),u(18)
JD01,嘉定城厢,T,,,"u(15), ᴀ(1)",u(20)
JD01,嘉定城厢,TS,"ᴀ(8), o(2), ᴇ(1)","o(15), ᴀ(1)",u(11),"u(14), o(1)"
JD01,嘉定城厢,Ø,"ᴀ(6), iᴀ(1), iᴇ(1)","o(9), iᴀ(5), ø(1)","u(17), iu(1)",u(20)
JJ01,靖江城区,K,"æ(5), iɑ(2), iæ(1)","iɑ(4), o(3)","ʌɤ(14), iæ(1)",u(9)
JJ01,靖江城区,M,æ(3),o(3),ʌɤ(2),ʌɤ(3)
JJ01,靖江城区,N,,,"ʌɤ(4), ɑ(1)","u(3), ʌɤ(3)"
JJ01,靖江城区,P,"æ(6), o(1)",o(7),u(10),u(7)
JJ01,靖江城区,T,,,"ʌɤ(9), ɑ(2), u(1), æ(1)","u(11), ʌɤ(2)"
JJ01,靖江城区,TS,"æ(8), ɑ(1)",o(6),ʌɤ(6),u(7)
JJ01,靖江城区,Ø,"æ(6), iæ(1)","o(4), iɑ(3)","ʌɤ(11), æ(1)",u(7)
JS01,嘉善魏塘镇,K,"a(16), ia(2)","a(19), ia(1)","u(21), ɤ(2), a(1), o(1)",u(26)
JS01,嘉善魏塘镇,M,a(3),"o(6), a(1)",u(4),"u(7), o(3)"
JS01,嘉善魏塘镇,N,,,"u(12), a(2)",u(15)
JS01,嘉善魏塘镇,P,"a(7), o(1)","o(12), a(3)",u(10),u(19)
JS01,嘉善魏塘镇,T,,,"u(15), a(2), o(1)",u(20)
JS01,嘉善魏塘镇,TS,"a(7), o(2), ᴇ(1)","o(17), a(3)","u(12), i(1)","u(12), o(1)"
JS01,嘉善魏塘镇,Ø,"a(6), ᴇ(3), iɪ(1)","o(10), ia(4), a(1)","u(16), iø(1)",u(19)
JS02,金山朱泾,K,"ᴀ(10), iᴀ(4)","ᴀ(13), iᴀ(4)","u(17), o(1), ɤ(1), ᴀ(1)",u(25)
JS02,金山朱泾,M,ᴀ(3),"o(5), ᴀ(1)",o(4),"o(6), u(2)"
JS02,金山朱泾,N,,,u(8),u(12)
JS02,金山朱泾,P,ᴀ(7),"o(10), ᴀ(3)",u(8),u(18)
JS02,金山朱泾,T,,,"u(8), ᴀ(2), o(1)",u(20)
JS02,金山朱泾,TS,"ᴀ(7), o(2), ɛ(1)","o(11), ᴀ(3), ɑ(1)","u(8), i(1)","u(10), o(1)"
JS02,金山朱泾,Ø,"ᴀ(6), iɛ(1)","o(6), iᴀ(5), ɔ(2)","u(13), iu(1), ɔ(1)",u(16)
JT01,金坛,K,"ia(9), a(8), iɛ(5)","o(14), ia(8), a(1)","əu(22), ia(1), o(1)","u(28), ŋ(2)"
JT01,金坛,M,a(3),"o(6), a(1)",əu(5),"əu(6), ao(1), ɔʔ(1)"
JT01,金坛,N,,,"əu(12), o(2), a(1), ao(1)",u(15)
JT01,金坛,P,a(8),"o(15), a(1)",əu(12),u(18)
JT01,金坛,T,,,"əu(13), o(3), a(2), u(1)","u(19), əu(1)"
JT01,金坛,TS,"a(6), ɛi(3), o(1)","o(16), a(3)",əu(12),"u(12), əu(2)"
JT01,金坛,Ø,"a(4), iɛ(4), ia(2), ɛi(2)","ia(9), o(8), a(1), əʔ(1)","əu(18), o(2), ia(1), yɛ(1)",u(22)
JW01,江湾,K,"ɑ(6), iɑ(4)","ɑ(12), iɑ(4)","u(19), ᴀ(1)",u(23)
JW01,江湾,M,ɑ(3),"o(5), ɑ(1)",u(5),u(6)
JW01,江湾,N,,,u(6),u(10)
JW01,江湾,P,ɑ(7),"o(8), ᴀ(1)",u(5),u(14)
JW01,江湾,T,,,"u(7), ᴀ(2)",u(20)
JW01,江湾,TS,"ɑ(4), o(2), ɛ(1), ᴀ(1)","o(11), ɑ(1)",u(8),"u(10), o(1)"
JW01,江湾,Ø,ɑ(6),"o(5), iɑ(2), ɔ(2)",u(12),u(11)
JX01,嘉兴城区,K,"ɑ(10), iɑ(4)","ɑ(10), iɑ(2)","u(18), e(1), ɑ(1)",u(22)
JX01,嘉兴城区,M,ɑ(3),"o(5), ɑ(1)",u(2),u(6)
JX01,嘉兴城区,N,,,u(8),u(13)
JX01,嘉兴城区,P,ɑ(8),o(10),u(6),u(17)
JX01,嘉兴城区,T,,,"u(9), ɑ(1)",u(20)
JX01,嘉兴城区,TS,"ɑ(8), o(1), ɛ(1)","o(16), ɑ(2)",u(8),u(13)
JX01,嘉兴城区,Ø,"ɑ(5), ɛ(2), iɑ(1)","o(9), iɑ(2)","u(11), yɤə(1)",u(16)
JY01,江阴城区澄江镇,K,"æ(8), ia(6), a(5)","a(12), ia(6), o(5)","əɯ(24), ia(1), o(1)",u(31)
JY01,江阴城区澄江镇,M,æ(3),"o(5), a(1)",əɯ(4),əɯ(5)
JY01,江阴城区澄江镇,N,,,"əɯ(12), a(3), ɒ(1)",əɯ(16)
JY01,江阴城区澄江镇,P,æ(8),"o(8), a(6)",u(11),u(16)
JY01,江阴城区澄江镇,T,,,"əɯ(17), a(3)",əɯ(21)
JY01,江阴城区澄江镇,TS,"æ(4), a(1)",o(20),əɯ(11),əɯ(14)
JY01,江阴城区澄江镇,Ø,æ(7),"o(8), ia(3)","əɯ(17), a(1), io(1)",u(21)
KQ01,柯桥,K,"a(15), ia(3), e(1), o(1)","o(16), a(2), ia(2), io(1)","o(21), u(6)","u(28), y(2)"
KQ01,柯桥,M,a(3),"o(7), a(2)",o(6),"u(6), o(1), ɒ(1)"
KQ01,柯桥,N,,,"o(16), a(2)","u(16), o(1)"
KQ01,柯桥,P,"a(7), o(1)","o(13), a(1)","o(9), a(1)","u(20), o(1)"
KQ01,柯桥,T,,,"o(17), a(3), u(1)",u(21)
KQ01,柯桥,TS,a(9),"o(18), a(2)","o(11), io(1)","u(12), o(2)"
KQ01,柯桥,Ø,"a(6), ia(2), e(1)",o(11),"o(12), u(10), a(1)",u(22)
KS01,昆山市区玉山镇,K,"a(10), ia(2)","a(12), ia(2)","əu(21), a(1)","əu(25), o(2), n(1)"
KS01,昆山市区玉山镇,M,"a(3), ɛ(1)","o(5), a(1)",o(4),o(7)
KS01,昆山市区玉山镇,N,,,əu(11),əu(14)
KS01,昆山市区玉山镇,P,"a(7), o(1)",o(13),u(9),u(17)
KS01,昆山市区玉山镇,T,,,"əu(15), a(1)",əu(20)
KS01,昆山市区玉山镇,TS,"a(8), o(1)","o(15), a(1)","əu(10), o(1)","əu(14), o(1)"
KS01,昆山市区玉山镇,Ø,"a(6), ɛ(2), ia(1)","o(10), ia(2)","əu(16), u(1), ua(1), yø(1)",əu(18)
LA01,临安城区,K,"a(12), ia(5)","o(9), a(5), ia(4)","o(17), u(6), a(1)",u(26)
LA01,临安城区,M,a(3),"o(7), a(1)",o(4),o(7)
LA01,临安城区,N,,,"o(9), a(1)",u(13)
LA01,临安城区,P,"a(7), o(1)",o(10),o(9),u(19)
LA01,临安城区,T,,,"o(11), a(3)","u(20), o(1)"
LA01,临安城区,TS,"a(9), o(1)","o(15), a(5)",o(10),"u(10), o(3)"
LA01,临安城区,Ø,"a(6), ia(1)","o(9), ia(2)","o(11), u(2)",u(19)
LP01,临平五杭,K,"a(11), ia(5)","a(12), ia(2), uo(1)","u(20), a(1)",u(23)
LP01,临平五杭,M,a(3),"o(6), a(2)",u(4),u(6)
LP01,临平五杭,N,,,"u(8), oŋ(1), uo(1)",u(14)
LP01,临平五杭,P,"a(7), o(1)",o(12),"u(7), y(1)",u(18)
LP01,临平五杭,T,,,"u(10), a(2), uo(1)",u(19)
LP01,临平五杭,TS,"a(6), uo(2)","uo(14), a(2)",u(11),u(13)
LP01,临平五杭,Ø,a(6),"uo(9), ia(3)","u(15), i(1)",u(19)
LT01,练塘,K,"a(6), ia(4)","a(13), ia(3)","u(18), a(1), ɔ(1)",u(23)
LT01,练塘,M,a(3),"o(5), a(1)",u(5),u(6)
LT01,练塘,N,,,u(6),u(10)
LT01,练塘,P,a(7),"o(8), a(1)",u(5),u(14)
LT01,练塘,T,,,"u(6), a(2), o(1)",u(20)
LT01,练塘,TS,"a(7), o(1)","o(11), a(1)",u(8),"u(10), o(1)"
LT01,练塘,Ø,a(6),"o(6), ia(3)",u(12),u(11)
LY01,溧阳,K,"ᴀ(5), ie(3), io(1)","o(5), ie(2), io(2), iɑ(1)","ʌɯ(14), io(1)","u(8), ŋ(1)"
LY01,溧阳,M,ᴀ(3),o(3),ʌɯ(2),ʌɯ(3)
LY01,溧阳,N,,,"ʌɯ(4), ɔ(1)",u(6)
LY01,溧阳,P,"ᴀ(6), o(1)",o(7),ʌɯ(8),u(7)
LY01,溧阳,T,,,"ʌɯ(10), ᴀ(2), o(1)",u(11)
