point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts,hao_slot_in_data,hao_value_counts,hao_total_token_count,hao_monophthong_token_count,hao_monophthong_token_share,hao_dominant_value,hao_dominant_value_class,hao_dominant_token_count,hao_dominant_token_share,hao_status,hao_monophthong_values,hao_monophthong_nuclei,hao_back_monophthong_nuclei,hao_diphthong_or_glide_values,hao_other_values,hao_monophthong_nuclei_in_core,hao_monophthong_nuclei_in_core_back,hao_monophthong_nuclei_not_in_core,hao_core_relation
HM02,海门四甲,太湖片-毗陵小片,S0+S1+S2+S3,"o, ɑ, ɛ, ɤ, ɯ",5,304,"o, ɑ, ɛ, ɤ, ɯ",5,"ɤ(120), ɯ(110), ɑ(47), o(20), ɛ(7)","o, ɑ, ɤ, ɯ",4,297,"o, ɑ, ɤ, ɯ",4,"ɤ(120), ɯ(110), ɑ(47), o(20)",S5,ɔ(100),100,100,1.0,ɔ,monophthong,100,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
HN01,海宁城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u",3,261,"a, o, u",3,"u(161), a(51), o(49)","o, u",2,210,"o, u",2,"u(161), o(49)",S5,ɔ(82),82,82,1.0,ɔ,monophthong,82,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
HY01,海盐县城,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɛ, ɤ",6,285,"e, o, u, ɑ, ɛ, ɤ",6,"u(170), o(58), ɑ(54), e(1), ɤ(1), ɛ(1)","o, u, ɑ, ɤ",4,283,"o, u, ɑ, ɤ",4,"u(170), o(58), ɑ(54), ɤ(1)",S5,ɔ(81),81,81,1.0,ɔ,monophthong,81,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
HZ01,杭州城区,太湖片-杭州小片,S0+S1+S2+S3,"a, o, u, ɛ",4,245,"a, o, u, ɛ",4,"u(98), o(89), a(42), ɛ(16)","o, u",2,187,"o, u",2,"u(98), o(89)",S5,ɔ(84),84,84,1.0,ɔ,monophthong,84,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
HZ02,湖州市区,太湖片-苕溪小片,S0+S1+S2+S3,"a, e, u, ɷ",4,151,"a, e, u, ɷ",4,"a(55), ɷ(49), u(46), e(1)","u, ɷ",2,95,"u, ɷ",2,"ɷ(49), u(46)",S5,ɔ(87),87,87,1.0,ɔ,monophthong,87,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
JD01,嘉定城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ø, ᴀ, ᴇ",5,316,"o, u, ø, ᴀ, ᴇ",5,"u(206), ᴀ(57), o(50), ᴇ(2), ø(1)","o, u",2,256,"o, u",2,"u(206), o(50)",S5,ɔ(94),94,94,1.0,ɔ,monophthong,94,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
JJ01,靖江城区,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, æ, ɑ",4,115,"o, u, æ, ɑ",4,"u(55), æ(30), o(25), ɑ(5)","o, u, ɑ",3,85,"o, u, ɑ",3,"u(55), o(25), ɑ(5)",S5,ɒ(46),46,46,1.0,ɒ,monophthong,46,1.0,monophthong_only,ɒ,ɒ,ɒ,,,,,ɒ,hao_mono_outside_core_inventory
JS01,嘉善魏塘镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ɤ, ᴇ",7,345,"a, i, o, u, ɔ, ɤ, ᴇ",7,"u(208), a(73), o(55), ᴇ(5), ɤ(2), i(1), ɔ(1)","o, u, ɔ, ɤ",4,266,"o, u, ɔ, ɤ",4,"u(208), o(55), ɤ(2), ɔ(1)",S5,ɔ(94),94,94,1.0,ɔ,monophthong,94,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
JS02,金山,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ, ɔ, ɛ, ɤ, ᴀ",8,278,"i, o, u, ɑ, ɔ, ɛ, ɤ, ᴀ",8,"u(165), ᴀ(57), o(48), ɔ(3), ɛ(2), i(1), ɤ(1), ɑ(1)","o, u, ɑ, ɔ, ɤ",5,218,"o, u, ɑ, ɔ, ɤ",5,"u(165), o(48), ɔ(3), ɤ(1), ɑ(1)",S5,"ɔ(76), ɤ(1)",77,77,1.0,ɔ,monophthong,76,0.987012987012987,monophthong_only,"ɔ, ɤ","ɔ, ɤ","ɔ, ɤ",,,"ɔ, ɤ","ɔ, ɤ",,all_hao_mono_in_core_back_inventory
JT01,金坛,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u",3,223,"a, o, u",3,"u(115), o(69), a(39)","o, u",2,184,"o, u",2,"u(115), o(69)",S5,ao(97),97,0,0.0,ao,diphthong_or_glide,97,1.0,diphthong_or_glide_only,,,,ao,,,,,no_hao_monophthong
JW01,江湾,太湖片-苏沪嘉小片,S0+S1+S2+S3,"o, u, ɑ, ɔ, ɛ, ᴀ",6,237,"o, u, ɑ, ɔ, ɛ, ᴀ",6,"u(156), ɑ(41), o(32), ᴀ(4), ɔ(3), ɛ(1)","o, u, ɑ, ɔ",4,232,"o, u, ɑ, ɔ",4,"u(156), ɑ(41), o(32), ɔ(3)",S5,ɔ(70),70,70,1.0,ɔ,monophthong,70,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
JX01,嘉兴城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɛ",5,264,"e, o, u, ɑ, ɛ",5,"u(169), ɑ(49), o(42), ɛ(3), e(1)","o, u, ɑ",3,260,"o, u, ɑ",3,"u(169), ɑ(49), o(42)",S5,ɔ(87),87,87,1.0,ɔ,monophthong,87,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
JY01,江阴城区澄江镇,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u, æ, ɒ",5,192,"a, o, u, æ, ɒ",5,"u(79), o(48), a(32), æ(32), ɒ(1)","o, u, ɒ",3,128,"o, u, ɒ",3,"u(79), o(48), ɒ(1)",S5,ɒ(94),94,94,1.0,ɒ,monophthong,94,1.0,monophthong_only,ɒ,ɒ,ɒ,,,ɒ,ɒ,,all_hao_mono_in_core_back_inventory
KQ01,柯桥城关,太湖片-临绍小片,S0+S1+S2+S3,"a, e, o, u, y, ɒ",6,369,"a, e, o, u, y, ɒ",6,"o(165), u(142), a(57), y(2), e(2), ɒ(1)","o, u, ɒ",3,308,"o, u, ɒ",3,"o(165), u(142), ɒ(1)",S5,"ɒ(99), a(9)",108,108,1.0,ɒ,monophthong,99,0.9166666666666666,monophthong_only,"a, ɒ","a, ɒ",ɒ,,,"a, ɒ",ɒ,,all_hao_mono_in_core_inventory
KS01,昆山市区玉山镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɛ",4,141,"a, o, u, ɛ",4,"o(61), a(50), u(27), ɛ(3)","o, u",2,88,"o, u",2,"o(61), u(27)",S5,ɔ(82),82,82,1.0,ɔ,monophthong,82,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
LA01,临安城区,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u",3,304,"a, o, u",3,"o(134), u(115), a(55)","o, u",2,249,"o, u",2,"o(134), u(115)",S5,ɔ(91),91,91,1.0,ɔ,monophthong,91,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
LP01,临平五杭,太湖片-苕溪小片,S0+S1+S2+S3,"a, o, oŋ, u, y, ɛ",6,262,"a, o, u, y, ɛ",5,"u(187), a(53), o(20), y(1), ɛ(1)","o, oŋ, u",3,207,"o, u",2,"u(187), o(20)",S5,ɔ(88),88,88,1.0,ɔ,monophthong,88,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
LT01,练塘,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ",4,237,"a, o, u, ɔ",4,"u(154), a(48), o(34), ɔ(1)","o, u, ɔ",3,189,"o, u, ɔ",3,"u(154), o(34), ɔ(1)",S5,ɔ(70),70,70,1.0,ɔ,monophthong,70,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
LY01,溧阳,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, ɔ, ᴀ",4,107,"o, u, ɔ, ᴀ",4,"u(46), ᴀ(30), o(30), ɔ(1)","o, u, ɔ",3,77,"o, u, ɔ",3,"u(46), o(30), ɔ(1)",S5,ɑɤ(46),46,0,0.0,ɑɤ,diphthong_or_glide,46,1.0,diphthong_or_glide_only,,,,ɑɤ,,,,,no_hao_monophthong
MH01,闵行,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɑ, ɔ, ɛ, ɤ",7,254,"a, o, u, ɑ, ɔ, ɛ, ɤ",7,"u(164), a(46), o(36), ɔ(4), ɛ(2), ɤ(1), ɑ(1)","o, u, ɑ, ɔ, ɤ",5,206,"o, u, ɑ, ɔ, ɤ",5,"u(164), o(36), ɔ(4), ɤ(1), ɑ(1)",S5,ɔ(77),77,77,1.0,ɔ,monophthong,77,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
NB01,宁波市区,太湖片-甬江小片,S0+S1+S2+S3,"a, o, u, ø",4,202,"a, o, u, ø",4,"u(97), o(58), a(46), ø(1)","o, u",2,155,"o, u",2,"u(97), o(58)",S5,ɔ(81),81,81,1.0,ɔ,monophthong,81,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
NH01,南汇惠南镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ, ɛ",5,283,"a, o, u, ɔ, ɛ",5,"u(178), a(57), o(35), ɔ(7), ɛ(6)","o, u, ɔ",3,220,"o, u, ɔ",3,"u(178), o(35), ɔ(7)",S5,ɔ(79),79,79,1.0,ɔ,monophthong,79,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
NT01,南通金沙镇,太湖片-毗陵小片,S0+S1+S2+S3,"o, u, æ, ɑ",4,108,"o, u, æ, ɑ",4,"u(60), æ(26), o(12), ɑ(10)","o, u, ɑ",3,82,"o, u, ɑ",3,"u(60), o(12), ɑ(10)",S5,ə(44),44,44,1.0,ə,monophthong,44,1.0,monophthong_only,ə,ə,,,,,,ə,hao_mono_outside_core_inventory
PB01,彭埠镇,太湖片-杭州小片,S0+S1+S2+S3,"a, o, u, ø",4,259,"a, o, u, ø",4,"o(119), u(112), a(27), ø(1)","o, u",2,231,"o, u",2,"o(119), u(112)",S5,ɔ(83),83,83,1.0,ɔ,monophthong,83,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
PH01,平湖城关,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u",3,277,"a, o, u",3,"u(170), a(56), o(51)","o, u",2,221,"o, u",2,"u(170), o(51)",S5,"ɔ(80), əw(1), a(1)",82,81,0.9878048780487805,ɔ,monophthong,80,0.975609756097561,mixed_mono_and_diphthong,"a, ɔ","a, ɔ",ɔ,əw,,a,,ɔ,partial_hao_mono_in_core_inventory
QD01,启东吕四,太湖片-毗陵小片,S0+S1+S2+S3,"a, o, u, ɛ, ɤ",5,275,"a, o, u, ɛ, ɤ",5,"ɤ(119), u(102), a(37), o(12), ɛ(5)","o, u, ɤ",3,233,"o, u, ɤ",3,"ɤ(119), u(102), o(12)",S5,ɔ(92),92,92,1.0,ɔ,monophthong,92,1.0,monophthong_only,ɔ,ɔ,ɔ,,,,,ɔ,hao_mono_outside_core_inventory
QP01,青浦商榻,太湖片-苏沪嘉小片,S0+S1+S2+S3,"u, ɐ, ɒ, ɛ, ʊ",5,190,"u, ɐ, ɒ, ɛ, ʊ",5,"u(65), ʊ(63), ɒ(59), ɛ(2), ɐ(1)","u, ɒ, ʊ",3,187,"u, ɒ, ʊ",3,"u(65), ʊ(63), ɒ(59)",S5,"ɐ(89), ɒ(1)",90,90,1.0,ɐ,monophthong,89,0.9888888888888889,monophthong_only,"ɐ, ɒ","ɐ, ɒ",ɒ,,,"ɐ, ɒ",ɒ,,all_hao_mono_in_core_inventory
SH01,上海市区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɔ, ᴀ, ᴇ",6,376,"i, o, u, ɔ, ᴀ, ᴇ",6,"u(232), o(69), ᴀ(68), ᴇ(5), i(1), ɔ(1)","o, u, ɔ",3,302,"o, u, ɔ",3,"u(232), o(69), ɔ(1)",S5,ɔ(97),97,97,1.0,ɔ,monophthong,97,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
SJ01,松江镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɑ, ɔ, ɛ",6,382,"e, o, u, ɑ, ɔ, ɛ",6,"u(221), ɑ(81), o(69), ɔ(9), ɛ(1), e(1)","o, u, ɑ, ɔ",4,380,"o, u, ɑ, ɔ",4,"u(221), ɑ(81), o(69), ɔ(9)",S5,"ɔ(100), ɯ(1)",101,101,1.0,ɔ,monophthong,100,0.9900990099009901,monophthong_only,"ɔ, ɯ","ɔ, ɯ","ɔ, ɯ",,,ɔ,ɔ,ɯ,partial_hao_mono_in_core_inventory
SJ02,泗泾,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɑ",4,208,"i, o, u, ɑ",4,"u(118), ɑ(48), o(41), i(1)","o, u, ɑ",3,207,"o, u, ɑ",3,"u(118), ɑ(48), o(41)",S5,"ɔ(69), ɯ(1)",70,70,1.0,ɔ,monophthong,69,0.9857142857142858,monophthong_only,"ɔ, ɯ","ɔ, ɯ","ɔ, ɯ",,,,,"ɔ, ɯ",hao_mono_outside_core_inventory
SL01,三林,太湖片-苏沪嘉小片,S0+S1+S2+S3,"e, o, u, ɔ, ɤ, ᴀ",6,230,"e, o, u, ɔ, ɤ, ᴀ",6,"u(154), ᴀ(48), o(22), ɔ(4), ɤ(1), e(1)","o, u, ɔ, ɤ",4,181,"o, u, ɔ, ɤ",4,"u(154), o(22), ɔ(4), ɤ(1)",S5,ɔ(70),70,70,1.0,ɔ,monophthong,70,1.0,monophthong_only,ɔ,ɔ,ɔ,,,ɔ,ɔ,,all_hao_mono_in_core_back_inventory
SX01,绍兴城区东头埭,太湖片-临绍小片,S0+S1+S2+S3,"a, o, u, ɒ",4,387,"a, o, u, ɒ",4,"o(186), u(148), a(52), ɒ(1)","o, u, ɒ",3,335,"o, u, ɒ",3,"o(186), u(148), ɒ(1)",S5,"ɒ(101), a(4), ɤ(1)",106,106,1.0,ɒ,monophthong,101,0.9528301886792453,monophthong_only,"a, ɒ, ɤ","a, ɒ, ɤ","ɒ, ɤ",,,"a, ɒ",ɒ,ɤ,partial_hao_mono_in_core_inventory
