point_id,point_name,subbranch,candidate_nucleus,observed_token_count,point_monophthong_token_count,in_core_nucleus,in_core_back_nucleus,core_nucleus_token_count,log_core_nucleus_token_count,candidate_is_back,distance_to_au,phonetic_fit_to_au,log_core_nucleus_token_count_z,phonetic_fit_to_au_z,predicted_probability,predicted_token_count
FH01,奉化西坞,太湖片-甬江小片,ɐ,0,85,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.00477535731237902,0.40590537155221673
FH01,奉化西坞,太湖片-甬江小片,ə,0,85,0,0,0,0.0,0,1.4397569239284802,-1.4397569239284802,-0.46693359802595813,-0.42900983450002067,0.00477535731237902,0.40590537155221673
FH01,奉化西坞,太湖片-甬江小片,ɯ,0,85,0,0,0,0.0,1,1.5391231269784755,-1.5391231269784755,-0.46693359802595813,-0.6078044597402487,0.003394671750759477,0.28854709881455554
FH01,奉化西坞,太湖片-甬江小片,æ,0,85,0,0,0,0.0,0,2.1077238908357994,-2.1077238908357994,-0.46693359802595813,-1.6309165176099327,0.0004816264414245241,0.04093824752108455
FJ01,枫泾镇,太湖片-苏沪嘉小片,ɔ,68,69,1,1,2,1.0986122886681098,1,0.0,-0.0,0.2089414747386249,2.1616174789064986,0.9037992930443971,62.3621512200634
FJ01,枫泾镇,太湖片-苏沪嘉小片,ɒ,0,69,0,0,0,0.0,1,0.35999999999999993,-0.35999999999999993,-0.46693359802595813,1.5138513057933247,0.047657357742143525,3.288357684207903
FJ01,枫泾镇,太湖片-苏沪嘉小片,ɤ,0,69,1,1,1,0.6931471805599453,1,1.0628264204469138,-1.0628264204469138,-0.04050390492150895,0.24922024819407998,0.023487137028378294,1.6206124549581022
FJ01,枫泾镇,太湖片-苏沪嘉小片,u,0,69,1,1,115,4.7535901911063645,1,1.1700000000000002,-1.1700000000000002,2.457513133042437,0.05637741628868252,0.01625462768069217,1.1215693099677597
FJ01,枫泾镇,太湖片-苏沪嘉小片,ʌ,0,69,0,0,0,0.0,1,1.121650569473399,-1.121650569473399,-0.46693359802595813,0.14337498735650964,0.003484192289403396,0.24040926796883433
FJ01,枫泾镇,太湖片-苏沪嘉小片,ɜ,0,69,0,0,0,0.0,0,1.425622670975739,-1.425622670975739,-0.46693359802595813,-0.4035773596527684,0.0012266406173406246,0.08463820259650309
