onset_class,rank_within_onset,exact_chain,S0,S1,S2,S3,structure_pattern,point_count,share_within_onset,point_list
P,1,a → o → u → u,a,o,u,u,S2=S3,15,0.18292682926829268,CX02 长兴、FY01 富阳城关、HN01 海宁硖石、JS01 嘉善魏塘镇、KS01 昆山市区玉山镇、LP01 临平五杭、LT01 练塘、MH01 闵行、NH01 南汇惠南镇、PH01 平湖城关、TC01 太仓沙溪、TC02 太仓城厢、TX01 桐乡城区、WX02 吴县光福镇、XD01 新登下港
P,2,ɑ → o → u → u,ɑ,o,u,u,S2=S3,10,0.12195121951219512,BZ01 堡镇、CM01 崇明城桥、FC01 奉城、FX01 奉贤、HM01 海门镇沙地话、HY01 海盐县城、JW01 江湾、JX01 嘉兴城区、SJ01 松江镇、SJ02 泗泾
P,3,ᴀ → o → u → u,ᴀ,o,u,u,S2=S3,10,0.12195121951219512,BS01 宝山、CS01 川沙浦东、FJ01 枫泾镇、JD01 嘉定城厢、JS02 金山朱泾、SH01 上海市区、SL01 三林、XZ01 莘庄、ZP01 周浦、ZR01 真如
P,4,a → o → o → u,a,o,o,u,S1=S2,7,0.08536585365853659,KQ01 柯桥、LA01 临安城区、PB01 彭埠镇、SX01 绍兴城区东头埭、XH02 萧山城厢、XS01 象山丹城、XS03 萧山南阳镇
P,5,a → o → əu → u,a,o,əu,u,全对立,4,0.04878048780487805,FH01 奉化西坞、JT01 金坛、NB01 宁波市区、YX02 鄞县中区
P,6,a → o → au → u,a,o,au,u,全对立,3,0.036585365853658534,BL01 北仑、YX01 宜兴、ZS01 舟山定海
P,7,a → o → ou → u,a,o,ou,u,全对立,3,0.036585365853658534,CX01 慈溪逍林、YY01 余姚城关、ZJ03 诸暨直埠镇
P,8,a → uo → u → u,a,uo,u,u,S2=S3,3,0.036585365853658534,FY02 富阳东梓关、TL01 桐庐镇、YQ01 於潜
P,9,a → ɤ → ɤ → u,a,ɤ,ɤ,u,S1=S2,2,0.024390243902439025,QD01 启东吕四、SZ03 嵊州崇仁镇
P,10,a → ɷ → u → u,a,ɷ,u,u,S2=S3,2,0.024390243902439025,AJ01 安吉安城、HZ02 湖州市区
P,11,æ → o → u → u,æ,o,u,u,S2=S3,2,0.024390243902439025,JJ01 靖江城区、JY01 江阴城区澄江镇
P,12,ɔ → o → u → u,ɔ,o,u,u,S2=S3,2,0.024390243902439025,WJ01 吴江市松陵、WJ02 吴江芦墟
P,13,a → o → ɐu → u,a,o,ɐu,u,全对立,1,0.012195121951219513,DS01 岱山岱西镇
P,14,a → o → ɔi → u,a,o,ɔi,u,全对立,1,0.012195121951219513,ZJ01 诸暨城关
P,15,a → o → ɤɯ → u,a,o,ɤɯ,u,全对立,1,0.012195121951219513,CZ01 常州
P,16,a → o̞ → o → u,a,o̞,o,u,全对立,1,0.012195121951219513,XC01 新昌城关
P,17,a → u → əɯ → əɯ,a,u,əɯ,əɯ,S2=S3,1,0.012195121951219513,WX01 无锡城区
P,18,a → ɔ → o → u,a,ɔ,o,u,全对立,1,0.012195121951219513,SZ02 嵊州长乐
P,19,a → ɔ → u → u,a,ɔ,u,u,S2=S3,1,0.012195121951219513,DQ01 德清乾元
P,20,a → ʊ → ɤɯ → u,a,ʊ,ɤɯ,u,全对立,1,0.012195121951219513,ZJ02 诸暨璜山镇
P,21,æ → o → ɤɯ → u,æ,o,ɤɯ,u,全对立,1,0.012195121951219513,NT01 南通金沙镇
P,22,ɐ → o → o → u,ɐ,o,o,u,S1=S2,1,0.012195121951219513,SY02 上虞百官镇
P,23,ɑ → o → v → v,ɑ,o,v,v,S2=S3,1,0.012195121951219513,SZ01 苏州城区
P,24,ɑ → o → ɤ → ɯ,ɑ,o,ɤ,ɯ,全对立,1,0.012195121951219513,HM02 海门四甲
P,25,ɑ → ɑ → ə → u,ɑ,ɑ,ə,u,S0=S1,1,0.012195121951219513,DY01 丹阳
P,26,ɒ → ʊ → u → u,ɒ,ʊ,u,u,S2=S3,1,0.012195121951219513,QP01 青浦商榻
P,27,ɛ → a → o → u,ɛ,a,o,u,全对立,1,0.012195121951219513,HZ01 杭州城区
