point_id,point_name,subbranch,chain_slot,total_tokens,eligible_tokens,clear_split_tokens,i_medial_tokens,i_offglide_tokens,non_core_diphthong_tokens,medial_pending_tokens,checked_or_coda_tokens,monophthong_tokens,point_count,value_types,clear_split_values,clear_split_rate,raw_clear_split_share,medial_pending_share,i_offglide_share,non_core_diphthong_share
LA01,临安城区,太湖片-临绍小片,S3,118,118,0,0,0,0,0,0,118,1,2,,0.0,0.0,0.0,0.0,0.0
LP01,临平五杭,太湖片-苕溪小片,S0,41,34,0,5,0,0,2,0,34,1,4,,0.0,0.0,0.04878048780487805,0.0,0.0
LP01,临平五杭,太湖片-苕溪小片,S1,63,34,0,5,0,0,24,0,34,1,4,,0.0,0.0,0.38095238095238093,0.0,0.0
LP01,临平五杭,太湖片-苕溪小片,S2,81,78,0,0,0,0,2,1,78,1,5,,0.0,0.0,0.024691358024691357,0.0,0.0
LP01,临平五杭,太湖片-苕溪小片,S3,112,112,0,0,0,0,0,0,112,1,1,,0.0,0.0,0.0,0.0,0.0
LT01,练塘,太湖片-苏沪嘉小片,S0,34,30,0,4,0,0,0,0,30,1,3,,0.0,0.0,0.0,0.0,0.0
LT01,练塘,太湖片-苏沪嘉小片,S1,52,46,0,6,0,0,0,0,46,1,3,,0.0,0.0,0.0,0.0,0.0
LT01,练塘,太湖片-苏沪嘉小片,S2,64,64,0,0,0,0,0,0,64,1,4,,0.0,0.0,0.0,0.0,0.0
LT01,练塘,太湖片-苏沪嘉小片,S3,95,95,0,0,0,0,0,0,95,1,2,,0.0,0.0,0.0,0.0,0.0
LY01,溧阳,太湖片-毗陵小片,S0,33,28,0,5,0,0,0,0,28,1,4,,0.0,0.0,0.0,0.0,0.0
LY01,溧阳,太湖片-毗陵小片,S1,35,27,0,8,0,0,0,0,27,1,4,,0.0,0.0,0.0,0.0,0.0
LY01,溧阳,太湖片-毗陵小片,S2,58,58,54,0,0,0,0,0,4,1,4,ʌɯ,0.9310344827586207,0.9310344827586207,0.0,0.0,0.0
LY01,溧阳,太湖片-毗陵小片,S3,50,49,3,0,0,0,0,0,46,1,3,ʌɯ,0.061224489795918366,0.06,0.0,0.0,0.0
MH01,闵行,太湖片-苏沪嘉小片,S0,33,32,0,1,0,0,0,0,32,1,3,,0.0,0.0,0.0,0.0,0.0
MH01,闵行,太湖片-苏沪嘉小片,S1,53,46,0,7,0,0,0,0,46,1,6,,0.0,0.0,0.0,0.0,0.0
MH01,闵行,太湖片-苏沪嘉小片,S2,69,68,0,0,0,0,0,0,68,1,4,,0.0,0.0,0.0,0.0,0.0
MH01,闵行,太湖片-苏沪嘉小片,S3,106,106,0,0,0,0,0,0,106,1,2,,0.0,0.0,0.0,0.0,0.0
NB01,宁波市区,太湖片-甬江小片,S0,40,36,0,4,0,0,0,0,36,1,4,,0.0,0.0,0.0,0.0,0.0
NB01,宁波市区,太湖片-甬江小片,S1,66,53,0,4,0,0,9,0,53,1,5,,0.0,0.0,0.13636363636363635,0.0,0.0
NB01,宁波市区,太湖片-甬江小片,S2,85,85,68,0,0,0,0,0,17,1,5,əu,0.8,0.8,0.0,0.0,0.0
NB01,宁波市区,太湖片-甬江小片,S3,98,98,5,0,0,0,0,0,93,1,2,əu,0.05102040816326531,0.05102040816326531,0.0,0.0,0.0
NH01,南汇惠南镇,太湖片-苏沪嘉小片,S0,41,35,0,6,0,0,0,0,35,1,4,,0.0,0.0,0.0,0.0,0.0
NH01,南汇惠南镇,太湖片-苏沪嘉小片,S1,65,61,0,4,0,0,0,0,61,1,4,,0.0,0.0,0.0,0.0,0.0
NH01,南汇惠南镇,太湖片-苏沪嘉小片,S2,80,80,0,0,0,0,0,0,80,1,4,,0.0,0.0,0.0,0.0,0.0
NH01,南汇惠南镇,太湖片-苏沪嘉小片,S3,106,106,0,0,0,0,0,0,106,1,2,,0.0,0.0,0.0,0.0,0.0
NT01,南通金沙镇,太湖片-毗陵小片,S0,28,28,0,0,0,0,0,0,28,1,2,,0.0,0.0,0.0,0.0,0.0
NT01,南通金沙镇,太湖片-毗陵小片,S1,48,18,0,10,0,0,20,0,18,1,4,,0.0,0.0,0.4166666666666667,0.0,0.0
NT01,南通金沙镇,太湖片-毗陵小片,S2,59,58,53,0,0,0,0,1,5,1,3,ɤɯ,0.9137931034482759,0.8983050847457628,0.0,0.0,0.0
NT01,南通金沙镇,太湖片-毗陵小片,S3,59,59,5,0,0,0,0,0,54,1,2,ɤɯ,0.0847457627118644,0.0847457627118644,0.0,0.0,0.0
PB01,彭埠镇,太湖片-杭州小片,S0,27,24,0,3,0,0,0,0,24,1,3,,0.0,0.0,0.0,0.0,0.0
PB01,彭埠镇,太湖片-杭州小片,S1,52,45,0,7,0,0,0,0,45,1,3,,0.0,0.0,0.0,0.0,0.0
PB01,彭埠镇,太湖片-杭州小片,S2,81,81,0,0,0,0,0,0,81,1,4,,0.0,0.0,0.0,0.0,0.0
PB01,彭埠镇,太湖片-杭州小片,S3,107,107,0,0,0,0,0,0,107,1,2,,0.0,0.0,0.0,0.0,0.0
PH01,平湖城关,太湖片-苏沪嘉小片,S0,34,34,0,0,0,0,0,0,34,1,1,,0.0,0.0,0.0,0.0,0.0
PH01,平湖城关,太湖片-苏沪嘉小片,S1,59,58,0,1,0,0,0,0,58,1,3,,0.0,0.0,0.0,0.0,0.0
PH01,平湖城关,太湖片-苏沪嘉小片,S2,79,79,0,0,0,0,0,0,79,1,3,,0.0,0.0,0.0,0.0,0.0
PH01,平湖城关,太湖片-苏沪嘉小片,S3,103,103,0,0,0,0,0,0,103,1,2,,0.0,0.0,0.0,0.0,0.0
QD01,启东吕四,太湖片-毗陵小片,S0,43,34,0,7,0,0,2,0,34,1,4,,0.0,0.0,0.046511627906976744,0.0,0.0
QD01,启东吕四,太湖片-毗陵小片,S1,68,33,0,10,0,0,25,0,33,1,5,,0.0,0.0,0.36764705882352944,0.0,0.0
QD01,启东吕四,太湖片-毗陵小片,S2,91,91,0,0,0,0,0,0,91,1,2,,0.0,0.0,0.0,0.0,0.0
QD01,启东吕四,太湖片-毗陵小片,S3,115,115,0,0,0,0,0,0,115,1,2,,0.0,0.0,0.0,0.0,0.0
QP01,青浦商榻,太湖片-苏沪嘉小片,S0,42,36,0,6,0,0,0,0,36,1,4,,0.0,0.0,0.0,0.0,0.0
QP01,青浦商榻,太湖片-苏沪嘉小片,S1,73,63,0,10,0,0,0,0,63,1,3,,0.0,0.0,0.0,0.0,0.0
QP01,青浦商榻,太湖片-苏沪嘉小片,S2,95,94,53,1,0,0,0,0,41,1,6,əu,0.5638297872340425,0.5578947368421052,0.0,0.0,0.0
QP01,青浦商榻,太湖片-苏沪嘉小片,S3,116,115,67,0,0,0,0,1,48,1,4,əu,0.5826086956521739,0.5775862068965517,0.0,0.0,0.0
SH01,上海市区,太湖片-苏沪嘉小片,S0,49,45,0,4,0,0,0,0,45,1,5,,0.0,0.0,0.0,0.0,0.0
