point_id,point_name,cluster_k3,representative_chain,representative_chain_collapsed,ordered_diphthong_pattern,subbranch,lat,lon,cluster_label
FJ01,枫泾镇,3,ᴀ → o → u → u,S0 ᴀ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.8886,121.0097,S2–S3 U并位型
FX01,奉贤,3,ɑ → o → u → u,S0 ɑ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.91897527897765,121.472539149005,S2–S3 U并位型
FY02,富阳东梓关,3,a → uo → u → u,S0 a → S1 uo → S2–S3 u,S1 uo,太湖片-临绍小片,29.888746645740536,119.82322508571217,S2–S3 U并位型
GQ01,高桥,3,ᴀ → o → u → u,S0 ᴀ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.339124303388612,121.58040748222272,S2–S3 U并位型
HM01,海门镇沙地话,3,ɑ → o → u → u,S0 ɑ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.8856763941394,121.15836100693876,S2–S3 U并位型
HN01,海宁硖石,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.51747651962801,120.67311840279037,S2–S3 U并位型
HY01,海盐县城,3,ɑ → o → u → u,S0 ɑ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.52484608182146,120.943411857842,S2–S3 U并位型
HZ02,湖州市区,3,a → ɷ → u → əu,S0 a → S1 ɷ → S2 u → S3 əu,S3 əu,太湖片-苕溪小片,30.902792630239233,120.085631081529,S2–S3 U并位型
JD01,嘉定城厢,3,ᴀ → o → u → u,S0 ᴀ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.375152300679105,121.2715824755144,S2–S3 U并位型
JS01,嘉善魏塘镇,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.85581735072176,120.89532033139976,S2–S3 U并位型
JS02,金山朱泾,3,ᴀ → o → u → u,S0 ᴀ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.8986,121.1662,S2–S3 U并位型
JW01,江湾,3,ɑ → o → u → u,S0 ɑ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.305220787427928,121.47329399018194,S2–S3 U并位型
JX01,嘉兴城区,3,ɑ → o → u → u,S0 ɑ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.759566738914614,120.77338166132184,S2–S3 U并位型
LP01,临平五杭,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苕溪小片,30.494257613,120.253757428,S2–S3 U并位型
LT01,练塘,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.999904855821395,121.05239704753826,S2–S3 U并位型
MH01,闵行,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.009242,121.417695,S2–S3 U并位型
NH01,南汇惠南镇,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.05000952690444,121.74745427694488,S2–S3 U并位型
PH01,平湖城关,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.692613873607865,121.01118052674214,S2–S3 U并位型
QP01,青浦商榻,3,ɒ → ʊ → u → u,S0 ɒ → S1 ʊ → S2–S3 u,无,太湖片-苏沪嘉小片,31.11800487430921,120.91982736628508,S2–S3 U并位型
SH01,上海市区,3,ᴀ → o → u → u,S0 ᴀ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.245251317000687,121.47209312541509,S2–S3 U并位型
SJ01,松江镇,3,ɑ → o → u → u,S0 ɑ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.036008868377273,121.22465745683684,S2–S3 U并位型
SJ02,泗泾,3,ɑ → o → u → u,S0 ɑ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.118775274975683,121.27114807482758,S2–S3 U并位型
SL01,三林,3,ᴀ → ɔ → u → u,S0 ᴀ → S1 ɔ → S2–S3 u,无,太湖片-苏沪嘉小片,31.14556367853321,121.50266996292858,S2–S3 U并位型
TC01,太仓沙溪,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.55669694801828,121.07694150440597,S2–S3 U并位型
TC02,太仓城厢,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.457113404346295,121.11208518322822,S2–S3 U并位型
TL01,桐庐镇,3,a → uo → u → u,S0 a → S1 uo → S2–S3 u,S1 uo,太湖片-临绍小片,29.7884967854026,119.68688228167676,S2–S3 U并位型
TX01,桐乡城区,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,30.62837635390344,120.55967958073325,S2–S3 U并位型
WJ01,吴江市松陵,3,ɔ → o → u → u,S0 ɔ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.151716675903405,120.64901016522084,S2–S3 U并位型
WJ02,吴江芦墟,3,ɔ → o → u → u,S0 ɔ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.009803453390855,120.83681736613912,S2–S3 U并位型
XD01,新登下港,3,a → o → u → u,S0 a → S1 o → S2–S3 u,无,太湖片-临绍小片,29.87593,119.767307,S2–S3 U并位型
XZ01,莘庄,3,ᴀ → o → u → u,S0 ᴀ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.124822322270933,121.36994323180724,S2–S3 U并位型
YQ01,於潜,3,a → uo → u → u,S0 a → S1 uo → S2–S3 u,S1 uo,太湖片-临绍小片,30.187905243932583,119.39323745469882,S2–S3 U并位型
ZP01,周浦,3,ᴀ → ɔ → u → u,S0 ᴀ → S1 ɔ → S2–S3 u,无,太湖片-苏沪嘉小片,31.115354843880898,121.57500604757446,S2–S3 U并位型
ZR01,真如,3,ᴀ → o → u → u,S0 ᴀ → S1 o → S2–S3 u,无,太湖片-苏沪嘉小片,31.25725388552751,121.40120261716866,S2–S3 U并位型
