point_id,point_name,onset_class,S0,S1,S2,S3,exact_chain,slot_distinct_count,一级分类,二级分类,三级分类(详细模式),is_leapfrog,unplaced_values
YX01,宜兴,K,ia,o,ɷ,u,ia → o → ɷ → u,4,分立型,全不等,全对立,False,
YX02,鄞县中区,K,a,o,əu,u,a → o → əu → u,4,分立型,全不等,全对立,False,
YY01,余姚城关,K,a,o,ou,u,a → o → ou → u,4,分立型,全不等,全对立,False,
ZJ01,诸暨城关,K,a,o,ɔi,u,a → o → ɔi → u,4,分立型,全不等,全对立,False,
ZJ02,诸暨璜山镇,K,a,ʊ,ɤɯ,u,a → ʊ → ɤɯ → u,4,分立型,全不等,全对立,False,
ZJ03,诸暨直埠镇,K,a,o,ou,u,a → o → ou → u,4,分立型,全不等,全对立,False,
ZP01,周浦,K,ᴀ,ᴀ,u,u,ᴀ → ᴀ → u → u,2,合流型,多元合并,S0=S1，S2=S3,False,
ZR01,真如,K,iᴀ,ᴀ,u,u,iᴀ → ᴀ → u → u,3,合流型,单一合并,S2=S3,False,
ZS01,舟山定海,K,a,o,au,u,a → o → au → u,4,分立型,全不等,全对立,False,
AJ01,安吉安城,M,a,u,u,u,a → u → u → u,2,合流型,多元合并,S1=S2=S3,False,
BL01,北仑,M,a,o,au,au,a → o → au → au,3,合流型,单一合并,S2=S3,False,
BS01,宝山,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
BZ01,堡镇,M,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
CM01,崇明城桥,M,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
CS01,川沙浦东,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
CS02,常熟虞山镇,M,ᴀ,u,u,u,ᴀ → u → u → u,2,合流型,多元合并,S1=S2=S3,False,
CX01,慈溪逍林,M,a,o,ou,ou,a → o → ou → ou,3,合流型,单一合并,S2=S3,False,
CX02,长兴,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
CZ01,常州,M,a,o,ɤɯ,ɤɯ,a → o → ɤɯ → ɤɯ,3,合流型,单一合并,S2=S3,False,
DB01,郎溪梅渚镇定埠,M,ᴇ,ɑ,ɷ,ɷ,ᴇ → ɑ → ɷ → ɷ,3,合流型,单一合并,S2=S3,False,
DQ01,德清乾元,M,a,ɔ,u,u,a → ɔ → u → u,3,合流型,单一合并,S2=S3,False,
DS01,岱山岱西镇,M,a,o,ɐu,ɐu,a → o → ɐu → ɐu,3,合流型,单一合并,S2=S3,False,
DY01,丹阳,M,ɑ,ɑ,ə,ə,ɑ → ɑ → ə → ə,2,合流型,多元合并,S0=S1，S2=S3,False,
FC01,奉城,M,ɑ,o,o,o,ɑ → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
FH01,奉化西坞,M,a,o,əu,əu,a → o → əu → əu,3,合流型,单一合并,S2=S3,False,
FJ01,枫泾镇,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
FX01,奉贤,M,ɑ,o,o,o,ɑ → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
FY01,富阳城关,M,a,o,ʊ,ʊ,a → o → ʊ → ʊ,3,合流型,单一合并,S2=S3,False,
FY02,富阳东梓关,M,a,uo,u,u,a → uo → u → u,3,合流型,单一合并,S2=S3,False,
GQ01,高桥,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
HM01,海门镇沙地话,M,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
HM02,海门四甲,M,ɑ,o,ɤ,ɤ,ɑ → o → ɤ → ɤ,3,合流型,单一合并,S2=S3,False,
HN01,海宁硖石,M,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
HY01,海盐县城,M,ɑ,o,o,o,ɑ → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
HZ01,杭州城区,M,ɛ,a,o,o,ɛ → a → o → o,3,合流型,单一合并,S2=S3,False,
HZ02,湖州市区,M,a,ɷ,ɷ,u,a → ɷ → ɷ → u,3,合流型,单一合并,S1=S2,False,
JD01,嘉定城厢,M,ᴀ,o,u,u,ᴀ → o → u → u,3,合流型,单一合并,S2=S3,False,
JJ01,靖江城区,M,æ,o,ʌɤ,ʌɤ,æ → o → ʌɤ → ʌɤ,3,合流型,单一合并,S2=S3,False,
JS01,嘉善魏塘镇,M,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
JS02,金山朱泾,M,ᴀ,o,o,o,ᴀ → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
JT01,金坛,M,a,o,əu,əu,a → o → əu → əu,3,合流型,单一合并,S2=S3,False,
JW01,江湾,M,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
JX01,嘉兴城区,M,ɑ,o,u,u,ɑ → o → u → u,3,合流型,单一合并,S2=S3,False,
JY01,江阴城区澄江镇,M,æ,o,əɯ,əɯ,æ → o → əɯ → əɯ,3,合流型,单一合并,S2=S3,False,
KQ01,柯桥,M,a,o,o,u,a → o → o → u,3,合流型,单一合并,S1=S2,False,
KS01,昆山市区玉山镇,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
LA01,临安城区,M,a,o,o,o,a → o → o → o,2,合流型,多元合并,S1=S2=S3,False,
LP01,临平五杭,M,a,o,u,u,a → o → u → u,3,合流型,单一合并,S2=S3,False,
