point_id,point_name,onset_class,S0,S1,S2,S3
HZ02,湖州市区,TS,,ɷ,əu,əu
HZ02,湖州市区,TS*,a,ɷ,,
JD01,嘉定城关, K,ᴀ,ᴀ,u,u
JD01,嘉定城关, M,ᴀ,o,u,u
JD01,嘉定城关, N,ᴀ,u,u,u
JD01,嘉定城关, P,ᴀ,o,u,u
JD01,嘉定城关, T,,,u,u
JD01,嘉定城关, Ø,ᴀ,o,u,u
JD01,嘉定城关,TS,,o,u,u
JD01,嘉定城关,TS*,ᴀ,o,,
JJ01,靖江城区, K,æ,iɑ,ʌɤ,u
JJ01,靖江城区, M,æ,o,ʌɤ,ʌɤ
JJ01,靖江城区, N,æ,o,ʌɤ,ʌɤ
JJ01,靖江城区, P,æ,o,u,u
JJ01,靖江城区, T,,,ʌɤ,u
JJ01,靖江城区, Ø,æ,o,ʌɤ,u
JJ01,靖江城区,TS,,o,ʌɤ,u
JJ01,靖江城区,TS*,æ,o,,
JS01,嘉善魏塘镇, K,a,a,u,u
JS01,嘉善魏塘镇, M,a,o,u,u
JS01,嘉善魏塘镇, N,a,a,u,u
JS01,嘉善魏塘镇, P,a,o,u,u
JS01,嘉善魏塘镇, T,,,u,u
JS01,嘉善魏塘镇, Ø,a,o,u,u
JS01,嘉善魏塘镇,TS,,o,u,u
JS01,嘉善魏塘镇,TS*,a,o,,
JS02,金山, K,ᴀ,ᴀ,u,u
JS02,金山, M,ᴀ,o,o,o
JS02,金山, N,ᴀ,ᴀ,u,u
JS02,金山, P,ᴀ,o,u,u
JS02,金山, T,,,u,u
JS02,金山, Ø,ᴀ,o,u,u
JS02,金山,TS,,o,u,u
JS02,金山,TS*,ᴀ,o,,
JT01,金坛, K,ia,o,əu,u
JT01,金坛, M,a,o,əu,əu
JT01,金坛, N,ɛi,o,əu,u
JT01,金坛, P,a,o,əu,u
JT01,金坛, T,,,əu,u
JT01,金坛, Ø,iɛ,ia,əu,u
JT01,金坛,TS,,o,əu,u
JT01,金坛,TS*,a,o,,
JW01,江湾, K,ɑ,ɑ,u,u
JW01,江湾, M,ɑ,o,u,u
JW01,江湾, N,ɑ,ɔ,u,u
JW01,江湾, P,ɑ,o,u,u
JW01,江湾, T,,,u,u
JW01,江湾, Ø,ɑ,o,u,u
JW01,江湾,TS,,o,u,u
JW01,江湾,TS*,ɑ,o,,
JX01,嘉兴城区, K,ɑ,ɑ,u,u
JX01,嘉兴城区, M,ɑ,o,u,u
JX01,嘉兴城区, N,,o,u,u
JX01,嘉兴城区, P,ɑ,o,u,u
JX01,嘉兴城区, T,,,u,u
JX01,嘉兴城区, Ø,ɑ,o,u,u
JX01,嘉兴城区,TS,,o,u,u
JX01,嘉兴城区,TS*,ɑ,o,,
JY01,江阴城区澄江镇, K,æ,a,əɯ,u
JY01,江阴城区澄江镇, M,æ,o,əɯ,əɯ
JY01,江阴城区澄江镇, N,æ,o,əɯ,əɯ
JY01,江阴城区澄江镇, P,æ,o,u,u
JY01,江阴城区澄江镇, T,,,əɯ,əɯ
JY01,江阴城区澄江镇, Ø,æ,o,əɯ,u
JY01,江阴城区澄江镇,TS,,o,əɯ,əɯ
JY01,江阴城区澄江镇,TS*,æ,o,,
KQ01,柯桥城关, K,a,o,o,u
KQ01,柯桥城关, M,a,o,o,u
KQ01,柯桥城关, N,a,a,o,u
KQ01,柯桥城关, P,a,o,o,u
KQ01,柯桥城关, T,,,o,u
KQ01,柯桥城关, Ø,a,o,o,u
KQ01,柯桥城关,TS,,o,o,u
KQ01,柯桥城关,TS*,a,o,,
KS01,昆山市区玉山镇, K,a,a,əu,əu
KS01,昆山市区玉山镇, M,a,o,o,o
KS01,昆山市区玉山镇, N,a,o,əu,əu
KS01,昆山市区玉山镇, P,a,o,u,u
KS01,昆山市区玉山镇, T,,,əu,əu
KS01,昆山市区玉山镇, Ø,a,o,əu,əu
KS01,昆山市区玉山镇,TS,,o,əu,əu
KS01,昆山市区玉山镇,TS*,a,o,,
LA01,临安城区, K,a,o,o,u
LA01,临安城区, M,a,o,o,o
LA01,临安城区, N,a,a,o,u
LA01,临安城区, P,a,o,o,u
LA01,临安城区, T,,,o,u
LA01,临安城区, Ø,a,o,o,u
LA01,临安城区,TS,,o,o,u
LA01,临安城区,TS*,a,o,,
LP01,临平五杭, K,a,a,u,u
LP01,临平五杭, M,a,o,u,u
LP01,临平五杭, N,a,uo,u,u
LP01,临平五杭, P,a,o,u,u
LP01,临平五杭, T,,,u,u
LP01,临平五杭, Ø,a,uo,u,u
LP01,临平五杭,TS,,uo,u,u
LP01,临平五杭,TS*,a,uo,,
LT01,练塘, K,a,a,u,u
LT01,练塘, M,a,o,u,u
LT01,练塘, N,a,o,u,u
LT01,练塘, P,a,o,u,u
LT01,练塘, T,,,u,u
LT01,练塘, Ø,a,o,u,u
LT01,练塘,TS,,o,u,u
LT01,练塘,TS*,a,o,,
LY01,溧阳, K,ᴀ,o,ʌɯ,u
LY01,溧阳, M,ᴀ,o,ʌɯ,ʌɯ
LY01,溧阳, N,ᴀ,o,ʌɯ,u
LY01,溧阳, P,ᴀ,o,ʌɯ,u
LY01,溧阳, T,,,ʌɯ,u
LY01,溧阳, Ø,ᴀ,o,ʌɯ,u
LY01,溧阳,TS,,o,ʌɯ,u
LY01,溧阳,TS*,ᴀ,o,,
MH01,闵行, K,a,a,u,u
MH01,闵行, M,a,o,o,o
MH01,闵行, N,a,ɛ,u,u
MH01,闵行, P,a,o,u,u
MH01,闵行, T,,,u,u
MH01,闵行, Ø,a,ɔ,u,u
MH01,闵行,TS,,o,u,u
MH01,闵行,TS*,a,o,,
NB01,宁波市区, K,a,o,əu,u
NB01,宁波市区, M,a,o,əu,əu
NB01,宁波市区, N,a,o,əu,u
NB01,宁波市区, P,a,o,əu,u
