point_id,point_name,subbranch,core_slots,monophthong_values,monophthong_value_size,monophthong_token_count,monophthong_nuclei,monophthong_nucleus_size,monophthong_nucleus_counts,back_monophthong_values,back_monophthong_value_size,back_monophthong_token_count,back_monophthong_nuclei,back_monophthong_nucleus_size,back_monophthong_nucleus_counts
SZ01,苏州城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, ɑ, ɪ, ᴇ",5,140,"i, o, ɑ, ɪ, ᴇ",5,"o(67), ɑ(65), ɪ(4), ᴇ(3), i(1)","o, ɑ",2,132,"o, ɑ",2,"o(67), ɑ(65)"
SZ02,嵊州长乐,太湖片-临绍小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ᴇ",6,322,"a, i, o, u, ɔ, ᴇ",6,"u(109), o(95), ɔ(65), a(51), i(1), ᴇ(1)","o, u, ɔ",3,269,"o, u, ɔ",3,"u(109), o(95), ɔ(65)"
SZ03,嵊州崇仁镇,太湖片-临绍小片,S0+S1+S2+S3,"a, e, u, ɤ",4,320,"a, e, u, ɤ",4,"ɤ(154), u(116), a(49), e(1)","u, ɤ",2,270,"u, ɤ",2,"ɤ(154), u(116)"
TC01,太仓沙溪,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, i, o, u, ɔ, ɛ",6,211,"a, i, o, u, ɔ, ɛ",6,"u(73), o(70), a(61), ɛ(4), ɔ(2), i(1)","o, u, ɔ",3,145,"o, u, ɔ",3,"u(73), o(70), ɔ(2)"
TC02,太仓城厢,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ᴇ",4,214,"a, o, u, ᴇ",4,"o(79), u(79), a(55), ᴇ(1)","o, u",2,158,"o, u",2,"o(79), u(79)"
TL01,桐庐镇,太湖片-临绍小片,S0+S1+S2+S3,"a, u, ɔ, ɛ",4,243,"a, u, ɔ, ɛ",4,"u(194), a(47), ɛ(1), ɔ(1)","u, ɔ",2,195,"u, ɔ",2,"u(194), ɔ(1)"
TX01,桐乡城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɛ",4,256,"a, o, u, ɛ",4,"u(134), a(69), o(52), ɛ(1)","o, u",2,186,"o, u",2,"u(134), o(52)"
WJ01,吴江市松陵,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, ɔ, ɪ, ᴇ",6,154,"a, o, u, ɔ, ɪ, ᴇ",6,"o(55), ɔ(50), u(44), ᴇ(2), ɪ(2), a(1)","o, u, ɔ",3,149,"o, u, ɔ",3,"o(55), ɔ(50), u(44)"
WJ02,吴江芦墟,太湖片-苏沪嘉小片,S0+S1+S2+S3,"i, o, u, ɔ",4,120,"i, o, u, ɔ",4,"o(44), ɔ(39), u(36), i(1)","o, u, ɔ",3,119,"o, u, ɔ",3,"o(44), ɔ(39), u(36)"
WX01,无锡城区,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, u, ʌ",3,147,"a, u, ʌ",3,"u(79), a(66), ʌ(2)","u, ʌ",2,81,"u, ʌ",2,"u(79), ʌ(2)"
WX02,吴县光福镇,太湖片-苏沪嘉小片,S0+S1+S2+S3,"a, o, u, æ, ɛ",5,140,"a, o, u, æ, ɛ",5,"o(58), a(51), u(27), ɛ(3), æ(1)","o, u",2,85,"o, u",2,"o(58), u(27)"
XC01,新昌城关,太湖片-临绍小片,S0+S1+S2+S3,"a, o, o̞, u, ɛ",5,282,"a, o, u, ɛ",4,"o(137), u(96), a(46), ɛ(3)","o, o̞, u",3,233,"o, u",2,"o(137), u(96)"
