point_id,point_name,subbranch,hao_value_counts,hao_status,hao_has_monophthong,hao_unmonophthongized,hao_dominant_value,core_nuclei,back_nuclei,core_nucleus_size,back_nucleus_size,subbranch_is_piling,subbranch_not_piling,core_has_low_back_ɑ_or_ɒ,core_lacks_low_back_ɑ_or_ɒ,core_has_open_mid_back_ɔ_or_ɒ,core_lacks_open_mid_back_ɔ_or_ɒ,core_has_ɑ,core_has_ɒ,core_has_ɔ,core_has_o_and_u,core_nucleus_size_ge_6,core_nucleus_size_le_5,back_nucleus_size_ge_4,back_nucleus_size_le_3,piling_and_lacks_low_back,piling_and_has_o_u_and_lacks_low_back
MH01,闵行,太湖片-苏沪嘉小片,ɔ(77),monophthong_only,True,False,ɔ,"a, o, u, ɑ, ɔ, ɛ, ɤ","o, u, ɑ, ɔ, ɤ",7,5,False,True,True,False,True,False,True,False,True,True,True,False,True,False,False,False
NB01,宁波市区,太湖片-甬江小片,ɔ(81),monophthong_only,True,False,ɔ,"a, o, u, ø","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
NH01,南汇惠南镇,太湖片-苏沪嘉小片,ɔ(79),monophthong_only,True,False,ɔ,"a, o, u, ɔ, ɛ","o, u, ɔ",5,3,False,True,False,True,True,False,False,False,True,True,False,True,False,True,False,False
NT01,南通金沙镇,太湖片-毗陵小片,ə(44),monophthong_only,True,False,ə,"o, u, æ, ɑ","o, u, ɑ",4,3,True,False,True,False,False,True,True,False,False,True,False,True,False,True,False,False
PB01,彭埠镇,太湖片-杭州小片,ɔ(83),monophthong_only,True,False,ɔ,"a, o, u, ø","o, u",4,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
PH01,平湖城关,太湖片-苏沪嘉小片,"ɔ(80), əw(1), a(1)",mixed_mono_and_diphthong,True,False,ɔ,"a, o, u","o, u",3,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
QD01,启东吕四,太湖片-毗陵小片,ɔ(92),monophthong_only,True,False,ɔ,"a, o, u, ɛ, ɤ","o, u, ɤ",5,3,True,False,False,True,False,True,False,False,False,True,False,True,False,True,True,True
QP01,青浦商榻,太湖片-苏沪嘉小片,"ɐ(89), ɒ(1)",monophthong_only,True,False,ɐ,"u, ɐ, ɒ, ɛ, ʊ","u, ɒ, ʊ",5,3,False,True,True,False,True,False,False,True,False,False,False,True,False,True,False,False
SH01,上海市区,太湖片-苏沪嘉小片,ɔ(97),monophthong_only,True,False,ɔ,"i, o, u, ɔ, ᴀ, ᴇ","o, u, ɔ",6,3,False,True,False,True,True,False,False,False,True,True,True,False,False,True,False,False
SJ01,松江镇,太湖片-苏沪嘉小片,"ɔ(100), ɯ(1)",monophthong_only,True,False,ɔ,"e, o, u, ɑ, ɔ, ɛ","o, u, ɑ, ɔ",6,4,False,True,True,False,True,False,True,False,True,True,True,False,True,False,False,False
SJ02,泗泾,太湖片-苏沪嘉小片,"ɔ(69), ɯ(1)",monophthong_only,True,False,ɔ,"i, o, u, ɑ","o, u, ɑ",4,3,False,True,True,False,False,True,True,False,False,True,False,True,False,True,False,False
SL01,三林,太湖片-苏沪嘉小片,ɔ(70),monophthong_only,True,False,ɔ,"e, o, u, ɔ, ɤ, ᴀ","o, u, ɔ, ɤ",6,4,False,True,False,True,True,False,False,False,True,True,True,False,True,False,False,False
SX01,绍兴城区东头埭,太湖片-临绍小片,"ɒ(101), a(4), ɤ(1)",monophthong_only,True,False,ɒ,"a, o, u, ɒ","o, u, ɒ",4,3,False,True,True,False,True,False,False,True,False,True,False,True,False,True,False,False
SY02,上虞百官镇,太湖片-临绍小片,ɔ(94),monophthong_only,True,False,ɔ,"o, u, y, ɐ, ᴇ","o, u",5,2,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False
SZ01,苏州城区,太湖片-苏沪嘉小片,æ(92),monophthong_only,True,False,æ,"i, o, ɑ, ɪ, ᴇ","o, ɑ",5,2,False,True,True,False,False,True,True,False,False,False,False,True,False,True,False,False
SZ02,嵊州长乐,太湖片-临绍小片,ɒ(84),monophthong_only,True,False,ɒ,"a, i, o, u, ɔ, ᴇ","o, u, ɔ",6,3,False,True,False,True,True,False,False,False,True,True,True,False,False,True,False,False
