point_id,point_name,representative_chain,default_cluster_count,default_cluster,S0_representative_value,S0_all_onset_values,S0_is_diphthong,S0_midpoint_x,S0_midpoint_y,S0_dispersion,S1_representative_value,S1_all_onset_values,S1_is_diphthong,S1_midpoint_x,S1_midpoint_y,S1_dispersion,S2_representative_value,S2_all_onset_values,S2_is_diphthong,S2_midpoint_x,S2_midpoint_y,S2_dispersion,S3_representative_value,S3_all_onset_values,S3_is_diphthong,S3_midpoint_x,S3_midpoint_y,S3_dispersion,cluster_k2,cluster_k3,cluster_k4,cluster_k5,cluster_k6,cluster_k7,cluster_k8
MH01,闵行,a → o → u → u,3,3,a,a(5),False,1.05,3.0,0.0,o,o(3)、a(1)、ɔ(1),False,3.0,1.0,0.2195,u,u(4)、o(1),False,3.0,0.0,0.0667,u,u(4)、o(1),False,3.0,0.0,0.0667,1,3,4,2,2,2,2
NB01,宁波市区,a → o → əu → u,3,2,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,əu,əu(5),True,2.35,0.75,0.0,u,u(4)、əu(1),False,3.0,0.0,0.0822,2,2,2,3,3,3,3
NH01,南汇惠南镇,a → o → u → u,3,3,a,a(4)、ia(1),False,1.05,3.0,0.1247,o,o(4)、a(1),False,3.0,1.0,0.1529,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,2,2,2,2
NT01,南通金沙镇,æ → o → ɤɯ → u,3,2,æ,æ(5),False,0.88,2.5,0.0,o,o(3)、uo(2),False,3.0,1.0,0.1147,ɤɯ,ɤɯ(5),True,3.0,0.5,0.0,u,u(5),False,3.0,0.0,0.0,2,2,2,3,3,3,3
PB01,彭埠镇,a → o → o → u,3,1,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,o,o(5),False,3.0,1.0,0.0,u,u(4)、o(1),False,3.0,0.0,0.0667,1,1,1,1,1,1,1
PH01,平湖城关,a → o → u → u,3,3,a,a(5),False,1.05,3.0,0.0,o,o(4)、a(1),False,3.0,1.0,0.1529,u,u(4)、o(1),False,3.0,0.0,0.0667,u,u(4)、o(1),False,3.0,0.0,0.0667,1,3,4,2,2,2,2
QD01,启东吕四,a → o → ɤ → u,3,1,a,a(5),False,1.05,3.0,0.0,o,yo(2)、ɤ(2)、o(1),False,3.0,1.0,0.1687,ɤ,ɤ(5),False,3.0,1.0,0.0,u,u(4)、ɤ(1),False,3.0,0.0,0.0787,1,1,1,1,1,1,1
QP01,青浦商榻,ɒ → ʊ → u → u,3,3,ɒ,ɒ(5),False,3.0,3.0,0.0,ʊ,ʊ(4)、ɒ(1),False,2.7,0.45,0.1701,u,əu(2)、u(2)、ʊ(1),False,3.0,0.0,0.1953,u,əu(2)、u(2)、ʊ(1),False,3.0,0.0,0.1953,1,3,4,5,6,5,6
SH01,上海市区,ᴀ → o → u → u,3,3,ᴀ,ᴀ(5),False,2.03,3.0,0.0,o,o(4)、ᴀ(1),False,3.0,1.0,0.1472,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,5,6
SJ01,松江镇,ɑ → o → u → u,3,3,ɑ,ɑ(5),False,3.0,3.0,0.0,o,o(3)、ɑ(1)、iɑ(1),False,3.0,1.0,0.2963,u,u(4)、o(1),False,3.0,0.0,0.0667,u,u(4)、o(1),False,3.0,0.0,0.0667,1,3,4,5,6,5,6
SJ02,泗泾,ɑ → o → u → u,3,3,ɑ,ɑ(5),False,3.0,3.0,0.0,o,o(4)、ɑ(1),False,3.0,1.0,0.1453,u,u(4)、əu(1),False,3.0,0.0,0.0822,u,u(3)、əu(1)、o(1),False,3.0,0.0,0.1489,1,3,4,5,6,5,6
SL01,三林,ᴀ → ɔ → u → u,3,3,ᴀ,ᴀ(5),False,2.03,3.0,0.0,ɔ,o(2)、ᴀ(1)、iɔ(1)、ɔ(1),False,3.0,2.0,0.321,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,5,6,7,8
SX01,绍兴城区东头埭,a → o → o → u,3,1,a,a(5),False,1.05,3.0,0.0,o,o(5),False,3.0,1.0,0.0,o,o(5),False,3.0,1.0,0.0,u,u(5),False,3.0,0.0,0.0,1,1,1,1,1,1,1
SY02,上虞百官镇,ɐ → o → o → u,3,1,ɐ,ɐ(5),False,1.92,2.5,0.0,o,o(5),False,3.0,1.0,0.0,o,o(5),False,3.0,1.0,0.0,u,u(4)、y(1),False,3.0,0.0,0.07,1,1,1,1,1,1,1
SZ01,苏州城区,ɑ → o → əu → əu,3,2,ɑ,ɑ(5),False,3.0,3.0,0.0,o,o(4)、ɑ(1),False,3.0,1.0,0.1453,əu,əu(3)、o(1)、v(1),True,2.35,0.75,0.3359,əu,əu(3)、o(1)、v(1),True,2.35,0.75,0.3359,2,2,2,3,4,4,4
SZ02,嵊州长乐,a → ɔ → o → u,3,1,a,a(5),False,1.05,3.0,0.0,ɔ,ɔ(5),False,3.0,2.0,0.0,o,o(4)、ɔ(1),False,3.0,1.0,0.0667,u,u(4)、o(1),False,3.0,0.0,0.0667,1,1,1,1,1,1,1
SZ03,嵊州崇仁镇,a → ɤ → ɤ → u,3,1,a,a(5),False,1.05,3.0,0.0,ɤ,ɤ(5),False,3.0,1.0,0.0,ɤ,ɤ(5),False,3.0,1.0,0.0,u,u(5),False,3.0,0.0,0.0,1,1,1,1,1,1,1
TC01,太仓沙溪,a → o → u → u,3,3,a,a(5),False,1.05,3.0,0.0,o,o(4)、a(1),False,3.0,1.0,0.1529,u,əu(2)、u(2)、o(1),False,3.0,0.0,0.2312,u,əu(2)、u(2)、o(1),False,3.0,0.0,0.2312,1,3,4,2,2,2,2
TC02,太仓城厢,a → o → u → u,3,3,a,a(5),False,1.05,3.0,0.0,o,o(4)、a(1),False,3.0,1.0,0.1529,u,əu(2)、u(2)、o(1),False,3.0,0.0,0.2312,u,əu(2)、u(2)、o(1),False,3.0,0.0,0.2312,1,3,4,2,2,2,2
TL01,桐庐镇,a → uo → u → u,3,3,a,a(5),False,1.05,3.0,0.0,uo,uo(4)、yo(1),True,3.0,0.5,0.035,u,u(5),False,3.0,0.0,0.0,u,u(5),False,3.0,0.0,0.0,1,3,4,2,2,2,5
