point_id,point_name,mainlayer_onset_rows,S0_major_value,S0_major_support,S0_all_values,S1_major_value,S1_major_support,S1_all_values,S2_major_value,S2_major_support,S2_all_values,S3_major_value,S3_major_support,S3_all_values,major_chain,major_chain_has_tie,dominant_onset_chain,dominant_onset_chain_support,onset_chain_count,unplaced_mainlayer_values,major_pattern_point_count,major_pattern_share
LP01,临平五杭,5,a,5,a(5),o / uo,2,o(2)、uo(2)、a(1),u,5,u(5),u,5,u(5),a → o / uo → u → u,True,a → o → u → u | a → uo → u → u,2,3,,1,0.012195121951219513
LT01,练塘,5,a,5,a(5),o,4,o(4)、a(1),u,5,u(5),u,5,u(5),a → o → u → u,False,a → o → u → u,4,2,,8,0.0975609756097561
LY01,溧阳,5,ᴀ,5,ᴀ(5),o,5,o(5),ʌɯ,5,ʌɯ(5),u,4,u(4)、ʌɯ(1),ᴀ → o → ʌɯ → u,False,ᴀ → o → ʌɯ → u,4,2,,1,0.012195121951219513
MH01,闵行,5,a,5,a(5),o,3,o(3)、a(1)、ɔ(1),u,4,u(4)、o(1),u,4,u(4)、o(1),a → o → u → u,False,a → o → u → u,2,4,,8,0.0975609756097561
NB01,宁波市区,5,a,5,a(5),o,5,o(5),əu,5,əu(5),u,4,u(4)、əu(1),a → o → əu → u,False,a → o → əu → u,4,2,,4,0.04878048780487805
NH01,南汇惠南镇,5,a,4,a(4)、ia(1),o,4,o(4)、a(1),u,5,u(5),u,5,u(5),a → o → u → u,False,a → o → u → u,4,2,,8,0.0975609756097561
NT01,南通金沙镇,5,æ,5,æ(5),o,3,o(3)、uo(2),ɤɯ,5,ɤɯ(5),u,5,u(5),æ → o → ɤɯ → u,False,æ → o → ɤɯ → u,3,2,,1,0.012195121951219513
PB01,彭埠镇,5,a,5,a(5),o,5,o(5),o,5,o(5),u,4,u(4)、o(1),a → o → o → u,False,a → o → o → u,4,2,,7,0.08536585365853659
PH01,平湖城关,5,a,5,a(5),o,4,o(4)、a(1),u,4,u(4)、o(1),u,4,u(4)、o(1),a → o → u → u,False,a → o → u → u,3,3,,8,0.0975609756097561
QD01,启东吕四,5,a,5,a(5),yo / ɤ,2,yo(2)、ɤ(2)、o(1),ɤ,5,ɤ(5),u,4,u(4)、ɤ(1),a → yo / ɤ → ɤ → u,True,a → yo → ɤ → u,2,4,,1,0.012195121951219513
QP01,青浦商榻,5,ɒ,5,ɒ(5),ʊ,4,ʊ(4)、ɒ(1),u / əu,2,əu(2)、u(2)、ʊ(1),u / əu,2,əu(2)、u(2)、ʊ(1),ɒ → ʊ → u / əu → u / əu,True,ɒ → ʊ → u → u,2,4,,1,0.012195121951219513
SH01,上海市区,5,ᴀ,5,ᴀ(5),o,4,o(4)、ᴀ(1),u,5,u(5),u,5,u(5),ᴀ → o → u → u,False,ᴀ → o → u → u,4,2,,11,0.13414634146341464
SJ01,松江镇,5,ɑ,5,ɑ(5),o,3,o(3)、ɑ(1)、iɑ(1),u,4,u(4)、o(1),u,4,u(4)、o(1),ɑ → o → u → u,False,ɑ → o → u → u,2,4,,10,0.12195121951219512
SJ02,泗泾,5,ɑ,5,ɑ(5),o,4,o(4)、ɑ(1),u,4,u(4)、əu(1),u,3,u(3)、əu(1)、o(1),ɑ → o → u → u,False,ɑ → o → u → u,3,3,,10,0.12195121951219512
SL01,三林,5,ᴀ,5,ᴀ(5),o,2,o(2)、ᴀ(1)、iɔ(1)、ɔ(1),u,5,u(5),u,5,u(5),ᴀ → o → u → u,False,ᴀ → o → u → u,2,4,,11,0.13414634146341464
SX01,绍兴城区东头埭,5,a,5,a(5),o,5,o(5),o,5,o(5),u,5,u(5),a → o → o → u,False,a → o → o → u,5,1,,7,0.08536585365853659
SY02,上虞百官镇,5,ɐ,5,ɐ(5),o,5,o(5),o,5,o(5),u,4,u(4)、y(1),ɐ → o → o → u,False,ɐ → o → o → u,4,2,,1,0.012195121951219513
SZ01,苏州城区,5,ɑ,5,ɑ(5),o,4,o(4)、ɑ(1),əu,3,əu(3)、o(1)、v(1),əu,3,əu(3)、o(1)、v(1),ɑ → o → əu → əu,False,ɑ → o → əu → əu,2,4,P:S2=v、P:S3=v,1,0.012195121951219513
