point_id,point_name,onset_class,S1,S2,S3,type,type_formula,一级分类_S1_S3,二级分类_S1_S3
JS01,嘉善魏塘镇,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
JS01,嘉善魏塘镇,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
JS01,嘉善魏塘镇,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
JS01,嘉善魏塘镇,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
JS02,金山朱泾,K,ᴀ,u,u,T3,歌=模≠麻,合流型,单一合并
JS02,金山朱泾,M,o,o,o,T2,歌=麻=模,合流型,全合并
JS02,金山朱泾,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
JS02,金山朱泾,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
JS02,金山朱泾,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
JT01,金坛,K,o,əu,u,T1,歌≠麻≠模,分立型,分立
JT01,金坛,M,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
JT01,金坛,P,o,əu,u,T1,歌≠麻≠模,分立型,分立
JT01,金坛,TS,o,əu,u,T1,歌≠麻≠模,分立型,分立
JT01,金坛,Ø,ia,əu,u,T1,歌≠麻≠模,分立型,分立
JW01,江湾,K,ɑ,u,u,T3,歌=模≠麻,合流型,单一合并
JW01,江湾,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
JW01,江湾,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
JW01,江湾,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
JW01,江湾,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
JX01,嘉兴城区,K,ɑ,u,u,T3,歌=模≠麻,合流型,单一合并
JX01,嘉兴城区,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
JX01,嘉兴城区,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
JX01,嘉兴城区,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
JX01,嘉兴城区,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
JY01,江阴城区澄江镇,K,a,əɯ,u,T1,歌≠麻≠模,分立型,分立
JY01,江阴城区澄江镇,M,o,əɯ,əɯ,T3,歌=模≠麻,合流型,单一合并
JY01,江阴城区澄江镇,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
JY01,江阴城区澄江镇,TS,o,əɯ,əɯ,T3,歌=模≠麻,合流型,单一合并
JY01,江阴城区澄江镇,Ø,o,əɯ,u,T1,歌≠麻≠模,分立型,分立
KQ01,柯桥,K,o,o,u,T4,歌=麻≠模,合流型,单一合并
KQ01,柯桥,M,o,o,u,T4,歌=麻≠模,合流型,单一合并
KQ01,柯桥,P,o,o,u,T4,歌=麻≠模,合流型,单一合并
KQ01,柯桥,TS,o,o,u,T4,歌=麻≠模,合流型,单一合并
KQ01,柯桥,Ø,o,o,u,T4,歌=麻≠模,合流型,单一合并
KS01,昆山市区玉山镇,K,a,əu,əu,T3,歌=模≠麻,合流型,单一合并
KS01,昆山市区玉山镇,M,o,o,o,T2,歌=麻=模,合流型,全合并
KS01,昆山市区玉山镇,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
KS01,昆山市区玉山镇,TS,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
KS01,昆山市区玉山镇,Ø,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
LA01,临安城区,K,o,o,u,T4,歌=麻≠模,合流型,单一合并
LA01,临安城区,M,o,o,o,T2,歌=麻=模,合流型,全合并
LA01,临安城区,P,o,o,u,T4,歌=麻≠模,合流型,单一合并
LA01,临安城区,TS,o,o,u,T4,歌=麻≠模,合流型,单一合并
LA01,临安城区,Ø,o,o,u,T4,歌=麻≠模,合流型,单一合并
LP01,临平五杭,K,a,u,u,T3,歌=模≠麻,合流型,单一合并
LP01,临平五杭,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
LP01,临平五杭,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
LP01,临平五杭,TS,uo,u,u,T3,歌=模≠麻,合流型,单一合并
LP01,临平五杭,Ø,uo,u,u,T3,歌=模≠麻,合流型,单一合并
LT01,练塘,K,a,u,u,T3,歌=模≠麻,合流型,单一合并
LT01,练塘,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
LT01,练塘,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
LT01,练塘,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
LT01,练塘,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
LY01,溧阳,K,o,ʌɯ,u,T1,歌≠麻≠模,分立型,分立
LY01,溧阳,M,o,ʌɯ,ʌɯ,T3,歌=模≠麻,合流型,单一合并
LY01,溧阳,P,o,ʌɯ,u,T1,歌≠麻≠模,分立型,分立
LY01,溧阳,TS,o,ʌɯ,u,T1,歌≠麻≠模,分立型,分立
LY01,溧阳,Ø,o,ʌɯ,u,T1,歌≠麻≠模,分立型,分立
MH01,闵行,K,a,u,u,T3,歌=模≠麻,合流型,单一合并
MH01,闵行,M,o,o,o,T2,歌=麻=模,合流型,全合并
MH01,闵行,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
MH01,闵行,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
MH01,闵行,Ø,ɔ,u,u,T3,歌=模≠麻,合流型,单一合并
NB01,宁波市区,K,o,əu,u,T1,歌≠麻≠模,分立型,分立
NB01,宁波市区,M,o,əu,əu,T3,歌=模≠麻,合流型,单一合并
NB01,宁波市区,P,o,əu,u,T1,歌≠麻≠模,分立型,分立
NB01,宁波市区,TS,o,əu,u,T1,歌≠麻≠模,分立型,分立
NB01,宁波市区,Ø,o,əu,u,T1,歌≠麻≠模,分立型,分立
NH01,南汇惠南镇,K,a,u,u,T3,歌=模≠麻,合流型,单一合并
NH01,南汇惠南镇,M,o,u,u,T3,歌=模≠麻,合流型,单一合并
NH01,南汇惠南镇,P,o,u,u,T3,歌=模≠麻,合流型,单一合并
NH01,南汇惠南镇,TS,o,u,u,T3,歌=模≠麻,合流型,单一合并
NH01,南汇惠南镇,Ø,o,u,u,T3,歌=模≠麻,合流型,单一合并
NT01,南通金沙镇,K,uo,ɤɯ,u,T1,歌≠麻≠模,分立型,分立
NT01,南通金沙镇,M,o,ɤɯ,u,T1,歌≠麻≠模,分立型,分立
NT01,南通金沙镇,P,o,ɤɯ,u,T1,歌≠麻≠模,分立型,分立
NT01,南通金沙镇,TS,o,ɤɯ,u,T1,歌≠麻≠模,分立型,分立
NT01,南通金沙镇,Ø,uo,ɤɯ,u,T1,歌≠麻≠模,分立型,分立
PB01,彭埠镇,K,o,o,u,T4,歌=麻≠模,合流型,单一合并
PB01,彭埠镇,M,o,o,o,T2,歌=麻=模,合流型,全合并
