point_id,point_name,rhyme_modern,rhyme_phonetic_set
CS02,常熟虞山镇,麻,"iᴀ, u, ᴀ"
CX01,慈溪逍林,佳,"a, ia, o, ou, u"
CX01,慈溪逍林,戈,"a, o, ou"
CX01,慈溪逍林,模,"ou, u"
CX01,慈溪逍林,歌,"a, o, ou"
CX01,慈溪逍林,皆,"a, e, ia"
CX01,慈溪逍林,麻,"a, ia, o, ø"
CX02,长兴,佳,"a, ia, o"
CX02,长兴,戈,"a, o, u, əu"
CX02,长兴,模,"o, u, əu"
CX02,长兴,歌,"a, o, u, əu"
CX02,长兴,皆,"a, ia"
CX02,长兴,麻,"a, ia, o"
CZ01,常州,佳,"a, ia, o"
CZ01,常州,戈,"o, ɤɯ"
CZ01,常州,模,"aɤ, u, ɔʔ, ɤɯ, ɥ"
CZ01,常州,歌,"a, ɤɯ"
CZ01,常州,皆,"a, ia, æi"
CZ01,常州,麻,"a, ia, o"
DB01,郎溪梅渚镇定埠,佳,"iɑ, ɑ, ᴇ"
DB01,郎溪梅渚镇定埠,戈,"əʔ, ɷ"
DB01,郎溪梅渚镇定埠,模,"u, ɷ, ʮ"
DB01,郎溪梅渚镇定埠,歌,"a, ɑ, əʔ, ɷ"
DB01,郎溪梅渚镇定埠,皆,ᴇ
DB01,郎溪梅渚镇定埠,麻,"iɑ, ɑ"
DQ01,德清乾元,佳,"a, ia, ɔ, ᴇ"
DQ01,德清乾元,戈,"u, ɔ, ᴇ"
DQ01,德清乾元,模,"oʔ, u"
DQ01,德清乾元,歌,"a, aʔ, oʔ, u, ɔ"
DQ01,德清乾元,皆,"a, ia"
DQ01,德清乾元,麻,"a, ia, u, ɔ"
DS01,岱山岱西镇,佳,"a, e, ia, o, ᴇ"
DS01,岱山岱西镇,戈,"o, u, ɐu"
DS01,岱山岱西镇,模,"u, ɐu"
DS01,岱山岱西镇,歌,"a, o, ɐu, ɔ, ɵ"
DS01,岱山岱西镇,皆,"a, ia, iᴇ"
DS01,岱山岱西镇,麻,"a, ia, o, ɔ, ɵ"
DY01,丹阳,佳,"ie, iɑ, æ, ɑ"
DY01,丹阳,戈,"yɑ, ə"
DY01,丹阳,模,"u, ə"
DY01,丹阳,歌,"æʔ, ɑ, ɔ, ə"
DY01,丹阳,皆,"ie, æ, ɑ"
DY01,丹阳,麻,"iɑ, ɑ"
FC01,奉城,佳,"iɑ, o, ɑ"
FC01,奉城,戈,"o, u"
FC01,奉城,模,"o, u"
FC01,奉城,歌,"i, u, ɑ, ɔ, ɯ"
FC01,奉城,皆,"iɑ, ɑ"
FC01,奉城,麻,"iɑ, o, ɑ, ɔ"
FH01,奉化西坞,佳,"a, ia, ie, o"
FH01,奉化西坞,戈,"o, u, əu"
FH01,奉化西坞,模,"u, y, əu"
FH01,奉化西坞,歌,"a, o, əu"
FH01,奉化西坞,皆,"a, ie, ɛ, ɛi"
FH01,奉化西坞,麻,"a, ia, o"
FJ01,枫泾镇,佳,"iᴀ, o, ᴀ"
FJ01,枫泾镇,戈,"o, u, əu"
FJ01,枫泾镇,模,"o, u, əu"
FJ01,枫泾镇,歌,"o, u, əu, ɤ, ᴀ"
FJ01,枫泾镇,皆,"iᴀ, ɛ, ᴀ"
FJ01,枫泾镇,麻,"iᴀ, o, ɔ, ᴀ"
FX01,奉贤,佳,"iɑ, o, ɑ"
FX01,奉贤,戈,"o, u"
FX01,奉贤,模,"o, u"
FX01,奉贤,歌,"i, u, ɑ, ɔ, ɯ"
FX01,奉贤,皆,"e, iɑ, iɛ, ɑ"
FX01,奉贤,麻,"iɑ, o, ɑ, ɔ"
FY01,富阳城关,佳,"a, o, ɛ"
FY01,富阳城关,戈,"a, i, o, u, ua, ʊ"
FY01,富阳城关,模,"u, ʊ"
FY01,富阳城关,歌,"a, o, u, ʊ"
FY01,富阳城关,皆,"a, iɛ"
FY01,富阳城关,麻,"a, ia, o"
FY02,富阳东梓关,佳,"a, ia, uo"
FY02,富阳东梓关,戈,"a, u, uo, ɛ"
FY02,富阳东梓关,模,u
FY02,富阳东梓关,歌,"a, o, u, uo, ɔ"
FY02,富阳东梓关,皆,"a, ia, iɛ, ɛ"
FY02,富阳东梓关,麻,"a, ia, uo"
GQ01,高桥,佳,"iᴀ, o, ᴀ"
GQ01,高桥,戈,u
GQ01,高桥,模,"o, u"
GQ01,高桥,歌,"o, u, ᴀ"
GQ01,高桥,皆,"e, iᴀ, ɛ, ᴀ"
GQ01,高桥,麻,"iᴀ, o, ɔ, ɛ, ᴀ"
HM01,海门镇沙地话,佳,"iɑ, o, ɑ, ɛ"
HM01,海门镇沙地话,戈,"iɑ, u"
HM01,海门镇沙地话,模,u
HM01,海门镇沙地话,歌,"u, ɑ"
HM01,海门镇沙地话,皆,"iɑ, iɛ, ɑ, ɛ"
HM01,海门镇沙地话,麻,"iɑ, o, uo, ɑ"
HM02,海门四甲,佳,"iɑ, yo, ɑ, ɛ"
HM02,海门四甲,戈,ɤ
