point_id,point_name,onset_class,merge_S0_S1,merge_S1_S2,merge_S2_S3,merge_S1_S3,comparison_scope,merge_S1_S3_two_link_mean,merge_NT_S2_S3_only
FY01,富阳城关,K,0.0476,0.0,0.2222,0.0,S1-S3_two_link_mean,0.1111,
FY01,富阳城关,M,0.2222,0.1,0.5,0.0,S1-S3_two_link_mean,0.3,
FY01,富阳城关,N,,,0.5,,S2-S3_only,,0.5
FY01,富阳城关,P,0.1637,0.0455,0.6818,0.0,S1-S3_two_link_mean,0.36365,
FY01,富阳城关,T,,,0.6,,S2-S3_only,,0.6
FY01,富阳城关,TS,0.1779,0.0,0.5,0.0,S1-S3_two_link_mean,0.25,
FY01,富阳城关,Ø,0.0,0.0635,0.6349,0.0,S1-S3_two_link_mean,0.3492,
FY02,富阳东梓关,K,0.0952,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
FY02,富阳东梓关,M,0.0,0.0,0.5,0.0,S1-S3_two_link_mean,0.25,
FY02,富阳东梓关,N,,,0.3889,,S2-S3_only,,0.3889
FY02,富阳东梓关,P,0.1111,0.0,0.5455,0.0,S1-S3_two_link_mean,0.27275,
FY02,富阳东梓关,T,,,0.625,,S2-S3_only,,0.625
FY02,富阳东梓关,TS,0.2233,0.0625,0.5625,0.0,S1-S3_two_link_mean,0.3125,
FY02,富阳东梓关,Ø,0.0,0.0,0.5714,0.0,S1-S3_two_link_mean,0.2857,
GQ01,高桥,K,0.4199,0.0,0.6296,0.0,S1-S3_two_link_mean,0.3148,
GQ01,高桥,M,0.1111,0.0,0.625,0.0,S1-S3_two_link_mean,0.3125,
GQ01,高桥,N,,,0.3333,,S2-S3_only,,0.3333
GQ01,高桥,P,0.3158,0.0,0.4545,0.0,S1-S3_two_link_mean,0.22725,
GQ01,高桥,T,,,0.325,,S2-S3_only,,0.325
GQ01,高桥,TS,0.1344,0.0,0.5,0.0714,S1-S3_two_link_mean,0.25,
GQ01,高桥,Ø,0.0,0.0,0.4762,0.0,S1-S3_two_link_mean,0.2381,
HM01,海门镇沙地话,K,0.6937,0.0,0.7576,0.0,S1-S3_two_link_mean,0.3788,
HM01,海门镇沙地话,M,0.1111,0.0,0.5,0.0,S1-S3_two_link_mean,0.25,
HM01,海门镇沙地话,N,,,0.6667,,S2-S3_only,,0.6667
HM01,海门镇沙地话,P,0.1082,0.0,0.8571,0.0,S1-S3_two_link_mean,0.42855,
HM01,海门镇沙地话,T,,,0.75,,S2-S3_only,,0.75
HM01,海门镇沙地话,TS,0.1581,0.0,0.6875,0.0,S1-S3_two_link_mean,0.34375,
HM01,海门镇沙地话,Ø,0.0208,0.0685,0.4286,0.0,S1-S3_two_link_mean,0.24855,
HM02,海门四甲,K,0.2792,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
HM02,海门四甲,M,0.1667,0.0,0.625,0.0,S1-S3_two_link_mean,0.3125,
HM02,海门四甲,N,,,0.1765,,S2-S3_only,,0.1765
HM02,海门四甲,P,0.1053,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
HM02,海门四甲,T,,,0.0,,S2-S3_only,,0.0
HM02,海门四甲,TS,0.0909,0.0,0.1429,0.0,S1-S3_two_link_mean,0.07145,
HM02,海门四甲,Ø,0.0,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
HN01,海宁硖石,K,0.5909,0.0,0.5556,0.0,S1-S3_two_link_mean,0.2778,
HN01,海宁硖石,M,0.1667,0.0,0.5,0.0,S1-S3_two_link_mean,0.25,
HN01,海宁硖石,N,,,0.3889,,S2-S3_only,,0.3889
HN01,海宁硖石,P,0.1579,0.0,0.6364,0.0,S1-S3_two_link_mean,0.3182,
HN01,海宁硖石,T,,,0.375,,S2-S3_only,,0.375
HN01,海宁硖石,TS,0.1344,0.1875,0.3482,0.0357,S1-S3_two_link_mean,0.26785,
HN01,海宁硖石,Ø,0.0,0.0,0.381,0.0,S1-S3_two_link_mean,0.1905,
HY01,海盐县城,K,0.5909,0.0,0.5741,0.0,S1-S3_two_link_mean,0.28705,
HY01,海盐县城,M,0.1111,0.6,0.45,0.25,S1-S3_two_link_mean,0.525,
HY01,海盐县城,N,,,0.5,,S2-S3_only,,0.5
HY01,海盐县城,P,0.0789,0.0,0.5455,0.0,S1-S3_two_link_mean,0.27275,
HY01,海盐县城,T,,,0.425,,S2-S3_only,,0.425
HY01,海盐县城,TS,0.0909,0.1562,0.4062,0.0,S1-S3_two_link_mean,0.2812,
HY01,海盐县城,Ø,0.0,0.0,0.6667,0.0,S1-S3_two_link_mean,0.33335,
HZ01,杭州城区,K,0.0476,0.0,0.1481,0.0,S1-S3_two_link_mean,0.07405,
HZ01,杭州城区,M,0.0,0.0,0.625,0.0,S1-S3_two_link_mean,0.3125,
HZ01,杭州城区,N,,,0.1765,,S2-S3_only,,0.1765
HZ01,杭州城区,P,0.1111,0.0,0.0,0.0,S1-S3_two_link_mean,0.0,
HZ01,杭州城区,T,,,0.0,,S2-S3_only,,0.0
HZ01,杭州城区,TS,0.1344,0.0,0.5,0.0,S1-S3_two_link_mean,0.25,
HZ01,杭州城区,Ø,0.0,0.0,0.3313,0.0,S1-S3_two_link_mean,0.16565,
HZ02,湖州市区,K,0.5671,0.0185,0.6212,0.0,S1-S3_two_link_mean,0.31985,
HZ02,湖州市区,M,0.1111,0.5556,0.0,0.0,S1-S3_two_link_mean,0.2778,
HZ02,湖州市区,N,,,0.5556,,S2-S3_only,,0.5556
HZ02,湖州市区,P,0.1053,0.0,0.7273,0.0,S1-S3_two_link_mean,0.36365,
HZ02,湖州市区,T,,,0.3028,,S2-S3_only,,0.3028
HZ02,湖州市区,TS,0.2905,0.0,0.6875,0.0,S1-S3_two_link_mean,0.34375,
HZ02,湖州市区,Ø,0.1111,0.0,0.234,0.0,S1-S3_two_link_mean,0.117,
JD01,嘉定城厢,K,0.5887,0.0,0.7273,0.0,S1-S3_two_link_mean,0.36365,
JD01,嘉定城厢,M,0.1111,0.0,0.6,0.0,S1-S3_two_link_mean,0.3,
JD01,嘉定城厢,N,,,0.4444,,S2-S3_only,,0.4444
