point_id,point_name,K,M,P,TS,Ø,subbranch,lat,lon,rule_macro_type,pattern_k3,pattern_k3_label,pattern_k4,pattern_k4_label,pattern_k5,pattern_k5_label,mds_x,mds_y
SX01,绍兴城区东头埭,S1=S2,S1=S2,S1=S2,S1=S2,S1=S2,太湖片-临绍小片,29.993518344339964,120.58871374901304,中段合并型,1,中段合并型,1,中段合并型,1,中段合并型,0.19047043659180565,0.7038904832069672
SY02,上虞百官镇,S1=S2,S1=S2,S1=S2,S1=S2,S1=S2,太湖片-临绍小片,30.03284284378913,120.86882647540976,中段合并型,1,中段合并型,1,中段合并型,1,中段合并型,0.19047043659180565,0.7038904832069672
SZ01,苏州城区,S0=S1，S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.29881005567972,120.5842465949506,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.4026616674000192,0.05346154011564379
SZ02,嵊州长乐,全对立,S2=S3,全对立,S1=S2,全对立,太湖片-临绍小片,29.462161931063488,120.6134354682932,混合过渡型,2,保守分立型,2,保守分立型,2,保守分立型,0.5486944736018221,0.023840109005123143
SZ03,嵊州崇仁镇,S1=S2,S1=S2,S1=S2,S1=S2,S1=S2,太湖片-临绍小片,29.597058890479932,120.71305579108136,中段合并型,1,中段合并型,1,中段合并型,1,中段合并型,0.19047043659180563,0.7038904832069671
TC01,太仓沙溪,S0=S1，S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.55669694801828,121.07694150440597,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.40266166740001924,0.05346154011564379
TC02,太仓城厢,S0=S1，S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.457113404346295,121.11208518322822,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.40266166740001924,0.05346154011564382
TL01,桐庐镇,S2=S3,S2=S3,S2=S3,S2=S3,S2=S3,太湖片-临绍小片,29.7884967854026,119.68688228167676,后段合并型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.2296803581414586,-0.1847048366594096
TX01,桐乡城区,S0=S1，S2=S3,S0=S1，S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,30.62837635390344,120.55967958073325,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.3937606698748126,-0.06876928379169317
WJ01,吴江市松陵,S0=S1，S2=S3,S1=S2=S3,S2=S3,S2=S3,S2=S3,太湖片-苏沪嘉小片,31.151716675903405,120.64901016522084,扩展合流型,3,扩展合流型,4,扩展合流型,4,扩展合流型,-0.40266166740001924,0.05346154011564382
