point_id,point_name,onset_class,S0,S1,S2,S3,一级分类,二级分类,三级分类(详细模式),是否越级
FY02,富阳东梓关,TS,ia,uo,u,u,合流型,单一合并,S2=S3,False
FY02,富阳东梓关,Ø,a,uo,u,u,合流型,单一合并,S2=S3,False
GQ01,高桥,K,iᴀ,ᴀ,u,u,合流型,单一合并,S2=S3,False
GQ01,高桥,M,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
GQ01,高桥,P,ᴀ,ᴀ,u,u,合流型,多元合并,S0=S1，S2=S3,False
GQ01,高桥,TS,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
GQ01,高桥,Ø,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
HM01,海门镇沙地话,K,ɑ,ɑ,u,u,合流型,多元合并,S0=S1，S2=S3,False
HM01,海门镇沙地话,M,ɑ,o,u,u,合流型,单一合并,S2=S3,False
HM01,海门镇沙地话,P,ɑ,o,u,u,合流型,单一合并,S2=S3,False
HM01,海门镇沙地话,TS,ɑ,o,u,u,合流型,单一合并,S2=S3,False
HM01,海门镇沙地话,Ø,ɑ,iɑ,u,u,合流型,单一合并,S2=S3,False
HM02,海门四甲,K,ɑ,iɑ,ɤ,ɯ,分立型,全不等,全对立,False
HM02,海门四甲,M,ɑ,o,ɤ,ɤ,合流型,单一合并,S2=S3,False
HM02,海门四甲,P,ɑ,o,ɤ,ɯ,分立型,全不等,全对立,False
HM02,海门四甲,TS,ɑ,yo,ɤ,ɯ,分立型,全不等,全对立,False
HM02,海门四甲,Ø,ɑ,ɯo,ɤ,ɯ,分立型,全不等,全对立,False
HN01,海宁城关,K,a,a,u,u,合流型,多元合并,S0=S1，S2=S3,False
HN01,海宁城关,M,a,o,u,u,合流型,单一合并,S2=S3,False
HN01,海宁城关,P,a,o,u,u,合流型,单一合并,S2=S3,False
HN01,海宁城关,TS,a,o,u,u,合流型,单一合并,S2=S3,False
HN01,海宁城关,Ø,a,o,u,u,合流型,单一合并,S2=S3,False
HY01,海盐县城,K,ɑ,ɑ,u,u,合流型,多元合并,S0=S1，S2=S3,False
HY01,海盐县城,M,ɑ,o,o,o,合流型,多元合并,S1=S2=S3,False
HY01,海盐县城,P,ɑ,o,u,u,合流型,单一合并,S2=S3,False
HY01,海盐县城,TS,ɑ,o,u,u,合流型,单一合并,S2=S3,False
HY01,海盐县城,Ø,ɑ,o,u,u,合流型,单一合并,S2=S3,False
HZ01,杭州城区,K,iɛ,ia,o,u,分立型,全不等,全对立,False
HZ01,杭州城区,M,ɛ,a,o,o,合流型,单一合并,S2=S3,False
HZ01,杭州城区,P,ɛ,a,o,u,分立型,全不等,全对立,False
HZ01,杭州城区,TS,ɛ,a,o,o,合流型,单一合并,S2=S3,False
HZ01,杭州城区,Ø,iɛ,ia,o,u,分立型,全不等,全对立,False
HZ02,湖州市区,K,a,a,əu,əu,合流型,多元合并,S0=S1，S2=S3,False
HZ02,湖州市区,M,a,ɷ,ɷ,u,合流型,单一合并,S1=S2,False
HZ02,湖州市区,P,a,ɷ,u,u,合流型,单一合并,S2=S3,False
HZ02,湖州市区,TS,a,ɷ,əu,əu,合流型,单一合并,S2=S3,False
HZ02,湖州市区,Ø,a,ɷ,u,əu,分立型,全不等,全对立,False
JD01,嘉定城关,K,ᴀ,ᴀ,u,u,合流型,多元合并,S0=S1，S2=S3,False
JD01,嘉定城关,M,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
JD01,嘉定城关,P,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
JD01,嘉定城关,TS,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
JD01,嘉定城关,Ø,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
JJ01,靖江城区,K,æ,iɑ,ʌɤ,u,分立型,全不等,全对立,False
JJ01,靖江城区,M,æ,o,ʌɤ,ʌɤ,合流型,单一合并,S2=S3,False
JJ01,靖江城区,P,æ,o,u,u,合流型,单一合并,S2=S3,False
JJ01,靖江城区,TS,æ,o,ʌɤ,u,分立型,全不等,全对立,False
JJ01,靖江城区,Ø,æ,o,ʌɤ,u,分立型,全不等,全对立,False
JS01,嘉善魏塘镇,K,a,a,u,u,合流型,多元合并,S0=S1，S2=S3,False
JS01,嘉善魏塘镇,M,a,o,u,u,合流型,单一合并,S2=S3,False
JS01,嘉善魏塘镇,P,a,o,u,u,合流型,单一合并,S2=S3,False
JS01,嘉善魏塘镇,TS,a,o,u,u,合流型,单一合并,S2=S3,False
JS01,嘉善魏塘镇,Ø,a,o,u,u,合流型,单一合并,S2=S3,False
JS02,金山,K,ᴀ,ᴀ,u,u,合流型,多元合并,S0=S1，S2=S3,False
JS02,金山,M,ᴀ,o,o,o,合流型,多元合并,S1=S2=S3,False
JS02,金山,P,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
JS02,金山,TS,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
JS02,金山,Ø,ᴀ,o,u,u,合流型,单一合并,S2=S3,False
JT01,金坛,K,ia,o,əu,u,分立型,全不等,全对立,False
JT01,金坛,M,a,o,əu,əu,合流型,单一合并,S2=S3,False
JT01,金坛,P,a,o,əu,u,分立型,全不等,全对立,False
JT01,金坛,TS,a,o,əu,u,分立型,全不等,全对立,False
JT01,金坛,Ø,iɛ,ia,əu,u,分立型,全不等,全对立,False
JW01,江湾,K,ɑ,ɑ,u,u,合流型,多元合并,S0=S1，S2=S3,False
JW01,江湾,M,ɑ,o,u,u,合流型,单一合并,S2=S3,False
JW01,江湾,P,ɑ,o,u,u,合流型,单一合并,S2=S3,False
